 CMS Certification Number,Facility Name,Address,City,County,State,Zip,Telephone,Patients who reported that staff definitely gave care in a professional way and the facility was clean,Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean,Patients who reported that staff did not give care in a professional way or the facility was not clean,Facilities and staff linear mean score,Patients who reported that staff definitely communicated about what to expect during and after the procedure,Patients who reported that staff somewhat communicated about what to expect during and after the procedure,Patients who reported that staff did not communicate about what to expect during and after the procedure,Communication about your procedure linear mean score,Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest),Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest),Patients’ rating of the facility linear mean score,Patients who reported YES they would DEFINITELY recommend the facility to family or friends,Patients who reported PROBABLY YES they would recommend the facility to family or friends,"Patients who reported NO, they would not recommend the facility to family or friends",Patients recommending the facility linear mean score,Footnote,Number of Sampled Patients,Number of Completed Surveys,Survey Response Rate Percent,Measure Start Date,Measure End Date
50278,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,LOS ANGELES,CA,91346,8183658051,95,4,1,97,88,9,3,92,86,12,2,94,82,14,4,92,,2291,528,23,10/1/2017,9/30/2018
50281,ALHAMBRA HOSPITAL MEDICAL CENTER,100 S RAYMOND AVE,ALHAMBRA,LOS ANGELES,CA,91801,6265701606,95,5,0,97,84,12,4,90,81,17,2,94,84,15,1,94,,1918,192,14,10/1/2017,9/30/2018
50289,SETON MEDICAL CENTER,1900 SULLIVAN AVENUE,DALY CITY,SAN MATEO,CA,94015,6509924000,94,5,1,97,88,9,3,92,75,18,7,90,73,23,4,89,,1690,441,26,10/1/2017,9/30/2018
50290,PROVIDENCE SAINT JOHN'S HEALTH CENTER,2121 SANTA MONICA BLVD,SANTA MONICA,LOS ANGELES,CA,90404,3108295511,97,3,0,98,88,9,3,93,86,12,2,94,87,11,2,94,,2195,629,29,10/1/2017,9/30/2018
50300,ST MARY MEDICAL CENTER,18300 HIGHWAY 18,APPLE VALLEY,SAN BERNARDINO,CA,92307,7602422311,,,,,,,,,,,,,,,,,4,,,,,
50301,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,MENDOCINO,CA,95482,7074623111,95,4,1,97,90,8,2,94,82,16,2,93,82,16,2,93,,3632,712,20,10/1/2017,9/30/2018
50315,KERN MEDICAL CENTER,1700 MOUNT VERNON AVENUE,BAKERSFIELD,KERN,CA,93306,6613262000,93,6,1,96,86,10,4,91,72,21,7,89,70,25,5,88,2,5057,416,8,10/1/2017,9/30/2018
50320,HIGHLAND HOSPITAL,1411 E 31ST STREET,OAKLAND,ALAMEDA,CA,94602,5104374800,,,,,,,,,,,,,,,,,4,,,,,
50324,SCRIPPS MEMORIAL HOSPITAL LA JOLLA,9888 GENESEE AVENUE,LA JOLLA,SAN DIEGO,CA,92037,8586264123,97,3,0,98,89,9,2,93,85,12,3,94,85,13,2,94,2,1282,373,29,10/1/2017,9/30/2018
50329,CORONA REGIONAL MEDICAL CENTER,800 SOUTH MAIN STREET,CORONA,RIVERSIDE,CA,92882,9517374343,95,4,1,97,89,9,2,94,79,16,5,91,76,19,5,90,,1420,327,23,10/1/2017,9/30/2018
50335,ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,TUOLUMNE,CA,95370,2095365000,97,3,0,99,90,8,2,94,83,14,3,93,79,18,3,91,,3523,1107,31,10/1/2017,9/30/2018
50351,TORRANCE MEMORIAL MEDICAL CENTER,3330 LOMITA BLVD,TORRANCE,LOS ANGELES,CA,90509,3103259110,97,3,0,98,90,8,2,94,88,10,2,95,87,11,2,95,,3194,931,29,10/1/2017,9/30/2018
50353,PROVIDENCE LITTLE COMPANY OF MARY MED CTR TORRANCE,4101 TORRANCE BLVD,TORRANCE,LOS ANGELES,CA,90503,3105407676,96,3,1,97,88,9,3,93,86,11,3,94,83,14,3,93,,2751,774,28,10/1/2017,9/30/2018
50357,GOLETA VALLEY COTTAGE HOSPITAL,351 S PATTERSON AVE,SANTA BARBARA,SANTA BARBARA,CA,93111,8056816446,98,2,0,99,90,8,2,94,92,7,1,97,93,6,1,97,,993,304,31,10/1/2017,9/30/2018
50382,CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,210 W SAN BERNARDINO ROAD,COVINA,LOS ANGELES,CA,91723,6268142468,93,6,1,96,86,10,4,91,80,16,4,92,75,21,4,89,,2357,413,18,10/1/2017,9/30/2018
50390,HEMET VALLEY MEDICAL CENTER,1117 EAST DEVONSHIRE,HEMET,RIVERSIDE,CA,92543,9516522811,89,10,1,94,80,14,6,87,57,27,16,83,52,35,13,78,,1871,342,18,10/1/2017,9/30/2018
50394,COMMUNITY MEMORIAL HOSPITAL SAN BUENAVENTURA,147 N BRENT ST,VENTURA,VENTURA,CA,93003,8056525011,94,6,0,97,87,10,3,92,74,20,6,91,77,21,2,92,,614,163,27,10/1/2017,9/30/2018
50396,SANTA BARBARA COTTAGE HOSPITAL,400 WEST PUEBLO,SANTA BARBARA,SANTA BARBARA,CA,93102,8056827111,96,3,1,98,88,9,3,92,87,11,2,94,90,9,1,96,,2723,786,29,10/1/2017,9/30/2018
