Provider ID,Hospital name,State,ZIP Code,Latitude,Longitude,Review Score,Hip and Knee Replacement Score,Hip and Knee Replacement Lower,Hip and Knee Replacement Upper,Heart Failure Death Score,Heart Failure Death Lower,Heart Failure Death Upper,Blood clots post surgery Score,Blood clots post surgery Lower,Blood clots post surgery Upper,Heart Attack Death Score,Heart Attack Death Lower,Heart Attack Death Upper,Post surgery Sepsis Score,Post surgery Sepsis Lower,Post surgery Sepsis Upper,Postop Respiratory Failure Score,Postop Respiratory Failure Lower,Postop Respiratory Failure Upper,Postop Dialysis need Score,Postop Dialysis need Lower,Postop Dialysis need Upper,Surgical Complication Deaths Score,Surgical Complication Deaths Lower,Surgical Complication Deaths Upper,Pneumonia death Score,Pneumonia death Lower,Pneumonia death Upper,Stroke death Score,Stroke death Lower,Stroke death Upper,Num_OB/GYN,Num_Ortho,Num_Pediatric,Num_Addiction,Num_Prev_Care,Num_Assist
010033,UNIVERSITY OF ALABAMA HOSPITAL,AL,35233,33.506129,-86.80192199999998,95.0,3.3,2.2,4.9,8.1,6.5,10.0,4.12,3.04,5.21,12,9.9,14.5,5.83,4.35,7.3,7.02,4.63,9.4,0.60,0,1.26,186.23,163.45,209,12.1,10.2,14.3,15.4,12.9,18.2,39,25,15,1,13,342
010034,COMMUNITY HOSPITAL INC,AL,36078,32.535292999999996,-85.911996,,,Not Available,Not Available,9.9,6.9,13.9,3.79,0.84,6.75,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.4,10.9,18.8,13.3,9.6,18.5,0,0,0,0,9,9
010035,CULLMAN REGIONAL MEDICAL CENTER,AL,35058,34.198586999999996,-86.80564100000002,92.0,2.8,1.8,4.3,12.8,10.4,15.6,3.73,1.31,6.15,14.4,11.2,18.3,6.81,3.23,10.39,8.92,2.43,15.41,1.66,0.22,3.09,178.82,127.76,229.87,19.1,16.3,22.2,17,13.0,21.8,9,14,5,0,47,57
010036,ANDALUSIA HEALTH,AL,36420,31.297462,-86.495599,,2.7,1.6,4.6,9.3,6.7,12.7,3.65,0.95,6.35,12.7,9.6,16.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.3,12.3,18.9,12.9,9.8,16.7,2,1,0,0,14,28
010038,STRINGFELLOW MEMORIAL HOSPITAL,AL,36201,33.667701,-85.825025,,2.2,1.2,3.9,12.4,9.1,16.6,3.25,0.52,5.99,13.5,10.3,17.3,5.38,1.62,9.15,7.42,0.27,14.58,1.28,0,2.73,Not Available,Not Available,Not Available,13.5,10.4,17.5,14.3,10.2,19.6,1,2,0,0,7,10
010039,HUNTSVILLE HOSPITAL,AL,35801,34.721226,-86.581547,,1.9,1.4,2.6,12.5,11.0,14.2,3.51,2.26,4.76,13.9,12.1,15.9,4.90,2.91,6.89,8.28,5.22,11.35,1.45,0.61,2.3,218.53,187.73,249.32,18.5,16.9,20.2,16.8,14.7,19.0,28,63,3,1,166,265
010040,GADSDEN REGIONAL MEDICAL CENTER,AL,35903,34.009389,-85.96752,,3.6,2.5,5.3,11.6,9.3,14.4,4.02,1.99,6.05,13.3,10.6,16.6,7.57,4.65,10.5,8.94,4.49,13.39,1.20,0,2.42,150.87,114.02,187.72,17.3,14.7,20.3,11.3,8.7,14.4,15,34,0,0,42,52
010044,MARION REGIONAL MEDICAL CENTER,AL,35570,34.125852,-87.989806,100.0,,Not Available,Not Available,9.9,6.6,14.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.5,9.9,18.4,Not Available,Not Available,Not Available,0,0,0,0,12,13
010045,FAYETTE MEDICAL CENTER,AL,35555,33.707708000000004,-87.823706,96.0,,Not Available,Not Available,11.5,8.2,15.8,3.76,0.82,6.71,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.7,12.2,20.0,14.3,10.4,19.1,1,4,0,0,23,16
010046,RIVERVIEW REGIONAL MEDICAL CENTER,AL,35901,34.003811,-86.004086,,2.7,1.6,4.5,8.1,6.2,10.7,2.41,0.05,4.77,12.2,9.3,16.1,4.14,0.84,7.43,6.27,0.9,11.65,1.02,0,2.32,168.96,121.3,216.62,15.4,12.6,18.6,12.5,9.4,16.5,0,18,0,0,13,12
010047,GEORGIANA MEDICAL CENTER,AL,36033,31.636334,-86.742751,,,Not Available,Not Available,11.9,8.2,16.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.2,11.3,20.1,Not Available,Not Available,Not Available,0,0,0,0,3,4
010049,MEDICAL CENTER ENTERPRISE,AL,36330,31.318191,-85.855308,,2.1,1.2,3.4,13.9,10.2,18.7,3.08,0.42,5.74,Not Available,Not Available,Not Available,4.65,0.89,8.41,7.12,0.1,14.13,1.28,0,2.73,Not Available,Not Available,Not Available,16.8,13.0,21.4,16.2,12.2,21.6,5,8,0,0,12,25
010051,GREENE COUNTY HOSPITAL,AL,35462,32.844744,-87.88930699999996,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,3,2
010052,LAKE MARTIN COMMUNITY HOSPITAL,AL,36853,32.8187,-85.74175799999998,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.9,10.2,18.5,Not Available,Not Available,Not Available,0,2,0,0,9,0
010055,FLOWERS HOSPITAL,AL,36305,31.235991,-85.457937,,3.0,2.0,4.4,14.6,12.0,17.8,4.32,2.41,6.24,13.9,11.1,17.2,4.25,1.66,6.83,8.34,4.79,11.88,1.06,0,2.2,186.41,144.93,227.89,16.6,14.0,19.6,16.7,13.5,20.5,14,38,7,0,41,105
010056,ST VINCENT'S BIRMINGHAM,AL,35205,33.508015,-86.78875500000002,,2.4,1.8,3.3,9.6,7.7,12.0,4.45,2.81,6.09,14.5,11.7,18.0,5.22,2.87,7.58,11.11,7.57,14.64,1.58,0.52,2.63,177.32,137.79,216.85,14.2,12.2,16.4,14.1,11.4,17.2,22,36,0,0,30,70
010058,BIBB MEDICAL CENTER,AL,35042,32.951101,-87.147865,,,Not Available,Not Available,12.3,8.3,18.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,17.5,13.1,23.3,Not Available,Not Available,Not Available,7,0,0,0,25,8
010059,LAWRENCE MEDICAL CENTER,AL,35650,34.482884000000006,-87.286019,95.0,,Not Available,Not Available,11.3,7.7,15.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,11.2,19.8,Not Available,Not Available,Not Available,0,0,0,0,17,12
010061,HIGHLANDS MEDICAL CENTER,AL,35768,34.661254,-86.047116,89.0,2.7,1.5,4.6,13.4,9.8,18.2,4.06,1.22,6.91,Not Available,Not Available,Not Available,5.04,1.13,8.95,8.57,0.88,16.25,1.29,0,2.75,Not Available,Not Available,Not Available,13.6,10.6,17.3,13.5,9.6,18.8,2,7,0,0,34,14
010062,WIREGRASS MEDICAL CENTER,AL,36340,31.048063,-85.890837,95.0,,Not Available,Not Available,12.4,9.0,17.2,3.75,0.81,6.69,Not Available,Not Available,Not Available,5.02,1.12,8.92,6.61,0,14.32,1.29,0,2.76,Not Available,Not Available,Not Available,14.4,10.8,19.1,Not Available,Not Available,Not Available,0,0,0,0,9,4
010065,RUSSELL MEDICAL CENTER,AL,35010,32.93103,-85.96839399999998,92.0,3.0,1.8,5.2,12.7,9.7,16.6,5.10,2.41,7.79,12.6,9.5,16.5,4.93,1.06,8.8,6.60,0,14.3,1.29,0,2.74,Not Available,Not Available,Not Available,17.9,14.9,21.4,14.8,11.1,19.8,6,6,0,0,13,27
010069,MEDICAL CENTER BARBOUR,AL,36027,31.88798,-85.15661300000002,,,Not Available,Not Available,10.9,7.6,15.4,3.77,0.83,6.72,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.9,11.1,19.8,13.6,9.8,18.3,1,2,0,0,10,12
010073,CLAY COUNTY HOSPITAL,AL,36251,33.276548,-85.823789,96.0,,Not Available,Not Available,12.8,8.7,18.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19.3,14.6,25.0,Not Available,Not Available,Not Available,0,4,0,0,28,2
010078,NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,AL,36207,33.657123,-85.823353,91.0,3.7,2.5,5.4,12.8,10.6,15.4,2.10,0.18,4.01,11.8,9.5,14.4,4.26,1.69,6.84,10.34,6.47,14.2,1.93,0.84,3.02,199.40,155.35,243.45,18.3,15.6,21.5,13.4,10.3,17.0,9,13,2,0,49,44
010079,ATHENS LIMESTONE HOSPITAL,AL,35611,34.803499,-86.97780300000002,94.0,3.1,2.0,4.7,9.6,6.9,13.0,3.34,0.76,5.92,Not Available,Not Available,Not Available,5.31,1.57,9.05,5.58,0,12.67,1.28,0,2.73,Not Available,Not Available,Not Available,18.3,14.9,22.0,15.4,11.4,20.3,3,7,0,0,21,43
010083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,AL,36535,30.426109000000004,-87.683187,,2.7,1.6,4.4,10.5,8.2,13.5,3.93,1.45,6.41,14.4,11.2,18.5,5.12,1.45,8.8,10.06,3.17,16.95,1.25,0,2.68,159.48,108.18,210.77,15.4,12.3,18.8,15.9,12.0,21.1,7,14,2,0,48,48
010085,DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,AL,35601,34.591167999999996,-86.97262099999998,89.0,2.6,1.7,4.0,10.8,8.9,13.2,3.95,1.78,6.12,13.3,10.2,16.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,170.56,126.65,214.46,17.7,15.3,20.5,15.6,12.4,19.3,9,9,2,0,47,47
010086,NORTHWEST MEDICAL CENTER,AL,35594,33.929316,-87.824507,,,Not Available,Not Available,13.7,10.1,18.5,3.73,0.80,6.65,Not Available,Not Available,Not Available,5.08,1.15,9,7.03,0,14.98,1.27,0,2.72,Not Available,Not Available,Not Available,16,12.6,20.3,16.9,12.5,22.1,2,2,0,0,13,10
010087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,AL,36617,30.708121000000002,-88.099441,,,Not Available,Not Available,11.9,7.8,17.9,3.26,0.87,5.65,Not Available,Not Available,Not Available,4.34,0.97,7.72,5.29,0,11.32,1.18,0,2.58,145.55,101.53,189.56,17.3,12.8,23.0,15.9,11.8,20.6,7,12,8,0,23,65
010089,WALKER BAPTIST MEDICAL CENTER,AL,35502,33.841142,-87.236879,,2.3,1.5,3.7,13.5,10.4,17.7,3.54,1.05,6.03,14.1,10.7,18.5,5.00,1.37,8.63,8.20,1.98,14.41,1.26,0,2.69,Not Available,Not Available,Not Available,20.6,17.0,24.9,13.7,10.3,18.0,10,5,2,0,15,11
010090,PROVIDENCE HOSPITAL,AL,36608,30.681690000000003,-88.198329,,2.4,1.5,3.6,15,12.4,18.0,4.40,2.41,6.39,16.5,13.4,20.2,4.60,1.66,7.54,13.69,8.69,18.7,1.81,0.69,2.94,188.22,144.05,232.4,14.8,12.4,17.4,17.6,14.1,21.6,12,21,1,0,37,60
010091,GROVE HILL MEMORIAL HOSPITAL,AL,36451,31.694213,-87.777231,,,Not Available,Not Available,11.7,7.9,17.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.7,11.6,20.9,Not Available,Not Available,Not Available,1,1,2,0,7,15
010092,D C H REGIONAL MEDICAL CENTER,AL,35401,33.20613,-87.525154,93.0,2.5,1.8,3.6,12.7,10.8,14.9,4.94,3.41,6.46,13.4,11.1,16.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,167.15,134.01,200.3,17.3,15.5,19.3,13.8,11.8,16.2,32,28,0,3,133,55
010095,HALE COUNTY HOSPITAL,AL,36744,32.412098,-87.018633,,,Not Available,Not Available,11.8,8.2,16.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,11.3,19.9,Not Available,Not Available,Not Available,0,0,0,0,6,1
010097,ELMORE COMMUNITY HOSPITAL,AL,36092,32.551957,-86.185643,,,Not Available,Not Available,10.1,6.9,15.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.6,9.8,18.4,Not Available,Not Available,Not Available,0,0,0,0,14,9
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,36426,31.127105,-87.072378,,,Not Available,Not Available,11.5,7.8,16.2,3.73,0.80,6.66,14.3,10.8,18.6,5.11,1.17,9.04,7.07,0,15.05,1.30,0,2.77,Not Available,Not Available,Not Available,21.3,17.0,26.8,15.5,11.4,20.9,3,6,0,0,10,14
010100,THOMAS HOSPITAL,AL,36532,30.519999,-87.890333,97.0,2.9,2.0,4.2,12.9,10.1,16.2,6.35,4.35,8.36,11.7,9.0,14.9,4.84,1.67,8.01,7.53,1.57,13.49,1.22,0,2.44,199.30,155.21,243.38,17,14.3,19.9,13.6,10.7,17.2,17,21,0,0,36,36
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,35161,33.439801,-86.090641,,,Not Available,Not Available,13.3,9.3,18.7,4.18,1.30,7.07,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,18.7,14.2,23.8,14.8,10.5,20.2,0,2,0,0,12,19
010102,J PAUL JONES HOSPITAL,AL,36726,31.996610999999998,-87.299424,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.6,12.0,22.6,Not Available,Not Available,Not Available,0,0,0,0,7,3
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,35211,33.499133,-86.846016,,2.4,1.5,3.8,12.4,9.8,15.6,6.50,4.63,8.37,16.4,13.1,20.3,7.73,5.29,10.17,6.60,2.03,11.17,1.73,0.8,2.65,132.00,95.51,168.5,18.9,15.7,22.5,15.7,12.5,19.6,5,5,2,0,22,58
010104,GRANDVIEW MEDICAL CENTER,AL,35243,33.434363,-86.720483,,3.5,2.5,4.8,11.8,9.3,14.7,3.94,2.11,5.76,13.6,10.9,17.1,4.97,2.46,7.48,9.17,5.21,13.12,1.37,0.3,2.43,210.15,168.86,251.44,16.2,13.2,19.4,14.4,11.3,18.3,18,65,0,1,74,124
010108,PRATTVILLE BAPTIST HOSPITAL,AL,36067,32.464423,-86.450936,,,Not Available,Not Available,8.2,5.9,11.3,3.65,0.75,6.54,13.1,10.0,17.0,4.96,1.08,8.84,8.97,1.13,16.82,1.30,0,2.77,Not Available,Not Available,Not Available,15.5,12.6,18.8,15.2,11.2,20.1,3,0,0,0,28,40
010109,PICKENS COUNTY MEDICAL CENTER,AL,35447,33.274807,-88.089673,90.0,,Not Available,Not Available,12.3,8.2,18.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,10.8,20.4,Not Available,Not Available,Not Available,6,3,0,0,24,5
010110,BULLOCK COUNTY HOSPITAL,AL,36089,32.146182,-85.71638,,,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.8,11.8,23.3,Not Available,Not Available,Not Available,0,0,0,0,5,0
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,AL,36732,32.503676,-87.836744,,,Not Available,Not Available,9.7,6.5,14.0,3.82,0.85,6.78,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,14.7,11.1,19.6,Not Available,Not Available,Not Available,6,5,0,0,45,6
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,36652,30.696443,-88.081017,95.0,3.1,2.1,4.3,11.9,9.9,14.3,7.90,6.33,9.46,13.9,11.3,17.2,6.80,4.18,9.43,6.74,2.53,10.95,0.74,0,1.84,177.91,141.84,213.98,17.6,15.4,20.3,12.5,9.9,15.6,14,35,5,0,41,95
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,35021,33.373086,-86.991709,,2.5,1.4,4.5,11.6,8.6,15.4,3.24,0.70,5.78,12.9,9.7,16.8,6.42,2.77,10.07,9.64,2.9,16.37,1.23,0,2.66,162.45,118.63,206.28,17.1,14.0,21.0,12.3,9.0,16.6,12,14,0,0,46,51
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,36701,32.430248,-87.055174,,,Not Available,Not Available,12.7,9.8,16.3,3.65,0.95,6.34,14.6,11.4,18.6,4.20,0.63,7.77,7.62,1.15,14.1,1.15,0,2.53,Not Available,Not Available,Not Available,17.8,14.5,21.4,14.4,10.9,18.8,7,6,0,0,12,7
010120,MONROE COUNTY HOSPITAL,AL,36460,31.497839000000003,-87.319411,95.0,,Not Available,Not Available,12.2,8.5,17.0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,19,14.6,24.1,13.6,9.9,18.6,7,2,0,0,12,10
010125,LAKELAND COMMUNITY HOSPITAL,AL,35565,34.241718,-87.589857,,,Not Available,Not Available,11,7.4,16.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.2,9.7,15.4,Not Available,Not Available,Not Available,0,0,2,0,14,4
010126,TROY REGIONAL MEDICAL CENTER,AL,36081,31.780321999999998,-85.94552900000002,91.0,2.4,1.3,4.4,13.1,9.2,18.5,3.57,0.70,6.44,Not Available,Not Available,Not Available,4.88,1.03,8.72,10.88,3.07,18.69,1.29,0,2.75,Not Available,Not Available,Not Available,20.7,15.9,26.2,13.7,9.7,18.9,1,1,0,0,12,7
010128,JACKSON MEDICAL CENTER,AL,36545,31.530482,-87.89318,,,Not Available,Not Available,12.8,8.3,18.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,16.8,12.3,22.5,Not Available,Not Available,Not Available,1,0,0,0,8,2
010129,NORTH BALDWIN INFIRMARY,AL,36507,30.902492,-87.78331800000002,93.0,,Not Available,Not Available,12.7,9.0,17.8,3.58,0.71,6.45,Not Available,Not Available,Not Available,5.12,1.18,9.07,7.46,0,15.65,1.31,0,2.78,Not Available,Not Available,Not Available,19.6,15.6,23.8,Not Available,Not Available,Not Available,2,2,0,0,12,7
010130,ST VINCENT'S ST CLAIR,AL,35125,33.605568,-86.30238,,,Not Available,Not Available,11.4,8.2,15.4,3.77,0.83,6.72,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.03,0,14.99,1.30,0,2.77,Not Available,Not Available,Not Available,12.7,10.0,16.0,13.8,10.3,18.4,6,2,0,0,17,33
010131,CRESTWOOD MEDICAL CENTER,AL,35801,34.718428,-86.556439,,3.4,2.4,4.7,12.6,9.9,15.7,3.25,1.28,5.21,12.4,9.8,15.3,5.87,2.82,8.92,6.25,2,10.5,1.51,0.14,2.87,179.01,132.46,225.57,15.5,13.2,18.0,14.6,11.3,18.7,7,40,0,0,54,75
