Provider ID,Hospital Name,Measure ID,Gastrointestinal,Eye,Nervous System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Respiratory,Other,Footnote,Measure Start Date,Measure End Date
010101,CITIZENS BAPTIST MEDICAL CENTER,OP-26,1254,209,0,28,38,9,39,0,7,,01/01/2017,12/31/2017
010102,J PAUL JONES HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010103,PRINCETON BAPTIST MEDICAL CENTER,OP-26,4438,673,55,373,1963,473,2165,297,70,,01/01/2017,12/31/2017
010104,GRANDVIEW MEDICAL CENTER,OP-26,4901,21,715,2859,2716,1003,780,240,88,,01/01/2017,12/31/2017
010108,PRATTVILLE BAPTIST HOSPITAL,OP-26,1338,348,0,34,254,0,0,0,5,,01/01/2017,12/31/2017
010109,PICKENS COUNTY MEDICAL CENTER,OP-26,227,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010110,BULLOCK COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,OP-26,506,164,30,77,187,27,23,0,15,,01/01/2017,12/31/2017
010113,MOBILE INFIRMARY MEDICAL CENTER,OP-26,7581,134,249,290,546,954,1284,718,242,,01/01/2017,12/31/2017
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",OP-26,3504,762,14,297,530,170,0,20,8,,01/01/2017,12/31/2017
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,OP-26,1088,323,0,504,0,529,217,11,202,,01/01/2017,12/31/2017
010120,MONROE COUNTY HOSPITAL,OP-26,92,0,3,4,28,47,32,0,7,,01/01/2017,12/31/2017
010125,LAKELAND COMMUNITY HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010126,TROY REGIONAL MEDICAL CENTER,OP-26,1414,0,0,177,20,77,0,5,4,,01/01/2017,12/31/2017
010128,JACKSON MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010129,NORTH BALDWIN INFIRMARY,OP-26,547,0,2,330,26,40,0,1,11,,01/01/2017,12/31/2017
010130,ST VINCENT'S ST CLAIR,OP-26,1249,95,0,30,1946,4,9,0,11,,01/01/2017,12/31/2017
010131,CRESTWOOD MEDICAL CENTER,OP-26,7060,0,945,1141,5663,659,1020,43,87,,01/01/2017,12/31/2017
010138,HILL HOSPITAL OF SUMTER COUNTY,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010139,BROOKWOOD BAPTIST MEDICAL CENTER,OP-26,1335,365,580,1596,2287,1668,1724,82,131,,01/01/2017,12/31/2017
010144,SPRINGHILL MEMORIAL HOSPITAL,OP-26,2096,0,209,82,1757,1014,1650,169,42,,01/01/2017,12/31/2017
010146,RMC JACKSONVILLE,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
010148,EVERGREEN MEDICAL CENTER,OP-26,75,0,0,0,3,0,0,0,0,,01/01/2017,12/31/2017
010149,BAPTIST MEDICAL CENTER EAST,OP-26,8058,0,0,77,542,417,92,1,42,,01/01/2017,12/31/2017
010150,L V STABLER MEMORIAL HOSPITAL,OP-26,421,17,0,63,82,0,255,2,5,,01/01/2017,12/31/2017
010157,SHOALS HOSPITAL,OP-26,989,0,53,22,81,4,0,4,4,,01/01/2017,12/31/2017
010158,RUSSELLVILLE HOSPITAL,OP-26,675,86,0,322,92,30,3,0,4,,01/01/2017,12/31/2017
010164,COOSA VALLEY MEDICAL CENTER,OP-26,1420,737,0,0,0,0,0,0,157,,01/01/2017,12/31/2017
010168,JACK HUGHSTON MEMORIAL HOSPITAL,OP-26,302,0,76,697,77,0,0,0,3,,01/01/2017,12/31/2017
010169,ATMORE COMMUNITY HOSPITAL,OP-26,624,0,0,0,17,15,1,2,2,,01/01/2017,12/31/2017
010173,ST VINCENT'S CHILTON,OP-26,1156,215,0,36,18,0,0,0,0,,01/01/2017,12/31/2017
011300,WASHINGTON COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
011302,RED BAY HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
011304,CHOCTAW GENERAL HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
011305,ST VINCENTS BLOUNT,OP-26,772,0,0,16,21,1,5,0,1,,01/01/2017,12/31/2017
020001,PROVIDENCE ALASKA MEDICAL CENTER,OP-26,1858,202,104,64,568,603,1104,120,175,,01/01/2017,12/31/2017
020006,MAT-SU REGIONAL MEDICAL CENTER,OP-26,2199,0,54,829,465,277,4,13,31,,01/01/2017,12/31/2017
020008,BARTLETT REGIONAL HOSPITAL,OP-26,956,0,0,202,18,169,0,2,6,,01/01/2017,12/31/2017
020012,FAIRBANKS MEMORIAL HOSPITAL,OP-26,2340,494,30,293,1774,227,271,14,52,,01/01/2017,12/31/2017
020017,ALASKA REGIONAL HOSPITAL,OP-26,1335,75,162,67,115,248,550,36,43,,01/01/2017,12/31/2017
020024,CENTRAL PENINSULA GENERAL HOSPITAL,OP-26,214,90,15,499,31,162,16,13,11,,01/01/2017,12/31/2017
020026,ALASKA NATIVE MEDICAL CENTER,OP-26,708,1035,22,476,115,299,38,83,50,,01/01/2017,12/31/2017
021303,SITKA COMMUNITY HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
021311,KETCHIKAN MEDICAL CENTER,OP-26,448,0,0,86,41,98,0,0,10,,01/01/2017,12/31/2017
021313,SOUTH PENINSULA HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,OP-26,3380,0,121,474,3131,932,2757,515,149,,01/01/2017,12/31/2017
030006,TUCSON MEDICAL CENTER,OP-26,1884,59,356,1848,10074,1440,2177,196,206,,01/01/2017,12/31/2017
030007,VERDE VALLEY MEDICAL CENTER,OP-26,1572,0,0,255,95,237,118,4,38,,01/01/2017,12/31/2017
030010,ST. MARY'S HOSPITAL,OP-26,1124,0,80,354,5506,220,745,56,97,,01/01/2017,12/31/2017
030011,ST JOSEPH'S HOSPITAL,OP-26,1491,258,152,518,2404,802,260,322,114,,01/01/2017,12/31/2017
030012,YAVAPAI REGIONAL MEDICAL CENTER,OP-26,1229,0,5,625,224,277,111,47,95,,01/01/2017,12/31/2017
030013,YUMA REGIONAL MEDICAL CENTER,OP-26,2528,204,81,1370,196,527,735,237,84,,01/01/2017,12/31/2017
030014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,OP-26,1139,0,205,480,143,353,5,256,12,,01/01/2017,12/31/2017
030016,BANNER CASA GRANDE MEDICAL CENTER,OP-26,569,0,0,542,881,373,172,31,61,,01/01/2017,12/31/2017
030022,MARICOPA MEDICAL CENTER,OP-26,1976,78,2,189,167,282,3,30,66,,01/01/2017,12/31/2017
030023,FLAGSTAFF MEDICAL CENTER,OP-26,1155,33,395,362,176,340,419,43,95,,01/01/2017,12/31/2017
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,OP-26,3253,0,246,174,897,1231,185,1319,111,,01/01/2017,12/31/2017
030030,ABRAZO CENTRAL CAMPUS,OP-26,1123,0,9,221,1893,238,92,38,237,,01/01/2017,12/31/2017
030036,CHANDLER REGIONAL MEDICAL CENTER,OP-26,1920,2,116,129,7046,1379,1537,179,338,,01/01/2017,12/31/2017
030037,ST LUKE'S MEDICAL CENTER,OP-26,1885,768,415,759,357,125,388,1,2,,01/01/2017,12/31/2017
030038,SCOTTSDALE OSBORN MEDICAL CENTER,OP-26,2259,174,178,974,317,329,17,36,70,,01/01/2017,12/31/2017
030043,CANYON VISTA MEDICAL CENTER,OP-26,1421,0,1,598,295,138,71,3,42,,01/01/2017,12/31/2017
030055,KINGMAN REGIONAL MEDICAL CENTER,OP-26,1749,0,14,455,1537,283,534,132,192,,01/01/2017,12/31/2017
030061,BANNER BOSWELL MEDICAL CENTER,OP-26,2231,0,68,421,1262,778,1843,258,184,,01/01/2017,12/31/2017
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,OP-26,1171,20,31,235,12,272,131,3932,49,,01/01/2017,12/31/2017
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,OP-26,610,0,18,36,72,97,236,133,40,,01/01/2017,12/31/2017
030065,BANNER DESERT MEDICAL CENTER,OP-26,3168,0,98,958,900,1241,1564,388,288,,01/01/2017,12/31/2017
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,OP-26,648,0,9,247,77,5,2,1,7,,01/01/2017,12/31/2017
030069,HAVASU REGIONAL MEDICAL CENTER,OP-26,12396,0,0,460,5110,238,274,27,112,,01/01/2017,12/31/2017
030077,SAN CARLOS APACHE HEALTHCARE,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
030083,ABRAZO SCOTTSDALE CAMPUS,OP-26,328,0,7,253,1701,394,33,63,10,,01/01/2017,12/31/2017
030085,NORTHWEST MEDICAL CENTER,OP-26,4233,506,210,1259,12942,1071,179,66,404,,01/01/2017,12/31/2017
030087,SCOTTSDALE SHEA MEDICAL CENTER,OP-26,4045,0,257,1314,814,1512,2,324,550,,01/01/2017,12/31/2017
030088,BANNER BAYWOOD MEDICAL CENTER,OP-26,1992,0,36,322,640,956,7,137,151,,01/01/2017,12/31/2017
030089,BANNER THUNDERBIRD MEDICAL CENTER,OP-26,2414,0,39,501,1992,1534,1089,459,233,,01/01/2017,12/31/2017
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,OP-26,4204,0,80,863,528,957,4,79,272,,01/01/2017,12/31/2017
030093,BANNER DEL E. WEBB MEDICAL CENTER,OP-26,4317,0,125,1351,327,837,330,375,106,,01/01/2017,12/31/2017
030094,ABRAZO ARROWHEAD CAMPUS,OP-26,1479,0,48,161,6237,972,3576,200,173,,01/01/2017,12/31/2017
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,OP-26,964,0,4,17,2144,131,710,10,13,,01/01/2017,12/31/2017
030103,MAYO CLINIC HOSPITAL,OP-26,4720,774,346,1322,435,1549,1325,767,369,,01/01/2017,12/31/2017
030105,BANNER HEART HOSPITAL,OP-26,4,0,0,0,0,0,2709,0,0,,01/01/2017,12/31/2017
030107,ARIZONA SPINE AND JOINT HOSPITAL,OP-26,0,0,0,1327,0,0,0,0,0,,01/01/2017,12/31/2017
030108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",OP-26,0,0,0,2121,0,0,0,0,0,,01/01/2017,12/31/2017
030110,ABRAZO WEST CAMPUS,OP-26,1397,0,34,57,3388,567,148,33,28,,01/01/2017,12/31/2017
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,OP-26,390,106,17,89,19,40,9,0,0,,01/01/2017,12/31/2017
030112,ARIZONA SPECIALTY HOSPITAL,OP-26,0,0,17,1257,17,0,0,0,0,,01/01/2017,12/31/2017
030114,ORO VALLEY HOSPITAL,OP-26,2407,333,25,772,267,125,29,22,87,,01/01/2017,12/31/2017
030115,BANNER ESTRELLA MEDICAL CENTER,OP-26,3408,0,61,343,172,883,216,266,103,,01/01/2017,12/31/2017
030117,VALLEY VIEW MEDICAL CENTER,OP-26,360,14,0,529,30,447,301,15,79,,01/01/2017,12/31/2017
030119,MERCY GILBERT MEDICAL CENTER,OP-26,2045,0,58,943,295,837,428,51,144,,01/01/2017,12/31/2017
030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",OP-26,2661,178,137,276,195,584,924,18,5,,01/01/2017,12/31/2017
030122,BANNER GATEWAY MEDICAL CENTER,OP-26,2097,0,9,730,577,1157,5,192,391,,01/01/2017,12/31/2017
030123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,OP-26,2790,0,377,251,122,623,3,28,26,,01/01/2017,12/31/2017
030130,BANNER IRONWOOD MEDICAL CENTER,OP-26,1220,0,5,261,23,0,0,0,3,,01/01/2017,12/31/2017
030131,O.A.S.I.S. HOSPITAL,OP-26,0,0,0,1156,0,0,0,0,0,,01/01/2017,12/31/2017
030134,BANNER GOLDFIELD MEDICAL CENTER,OP-26,454,0,0,0,4,0,0,0,1,,01/01/2017,12/31/2017
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,OP-26,151,0,0,112,0,0,0,0,302,,01/01/2017,12/31/2017
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,OP-26,664,0,0,3,6,8,111,0,0,,01/01/2017,12/31/2017
030138,WESTERN REGIONAL MEDICAL CENTER,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031300,WICKENBURG COMMUNITY HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031301,BENSON HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031304,PAGE HOSPITAL,OP-26,202,62,0,2,26,1,0,0,0,,01/01/2017,12/31/2017
031309,SAGE MEMORIAL HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031312,COPPER QUEEN COMMUNITY HOSPITAL,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031313,HOLY CROSS HOSPITAL,OP-26,227,0,0,2,48,23,0,0,1,,01/01/2017,12/31/2017
031314,COBRE VALLEY REGIONAL MEDICAL CENTER,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
031318,BANNER PAYSON MEDICAL CENTER,OP-26,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5 - Results are not available for this reporting period.,01/01/2017,12/31/2017
040001,SILOAM SPRINGS REGIONAL HOSPITAL,OP-26,964,351,0,99,25,24,2,20,5,,01/01/2017,12/31/2017
040002,JOHNSON REGIONAL MEDICAL CENTER,OP-26,901,14,0,38,21,198,0,2,8,,01/01/2017,12/31/2017
040004,WASHINGTON REGIONAL MEDICAL CENTER,OP-26,1285,0,164,53,2942,938,1314,209,121,,01/01/2017,12/31/2017
040007,CHI-ST VINCENT INFIRMARY,OP-26,1201,0,368,542,4458,978,369,66,53,,01/01/2017,12/31/2017
040010,MERCY HOSPITAL NORTHWEST ARKANSAS,OP-26,5797,0,198,679,4991,868,180,117,125,,01/01/2017,12/31/2017
040011,CHAMBERS MEMORIAL HOSPITAL,OP-26,445,240,0,0,167,0,0,0,2,,01/01/2017,12/31/2017
040014,WHITE COUNTY MEDICAL CENTER,OP-26,2051,6,40,400,84,758,91,67,30,,01/01/2017,12/31/2017
040015,MENA REGIONAL HEALTH SYSTEM,OP-26,560,160,0,48,29,0,7,0,0,,01/01/2017,12/31/2017
040016,UAMS MEDICAL CENTER,OP-26,3497,1141,234,732,5192,1838,212,2477,289,,01/01/2017,12/31/2017
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,OP-26,2150,0,0,1464,193,619,8,3,968,,01/01/2017,12/31/2017
040018,SPARKS MEDICAL CENTER - VAN BUREN,OP-26,294,0,8,126,191,5,0,0,1,,01/01/2017,12/31/2017
040019,FORREST CITY MEDICAL CENTER,OP-26,482,0,0,1,271,144,17,0,5,,01/01/2017,12/31/2017
040020,ST BERNARDS MEDICAL CENTER,OP-26,2028,0,38,147,6066,634,1972,137,152,,01/01/2017,12/31/2017
040022,NORTHWEST MEDICAL CENTER-SPRINGDALE,OP-26,3787,21,17,308,550,439,145,89,106,,01/01/2017,12/31/2017
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,OP-26,1994,546,112,1438,175,1427,98,120,108,,01/01/2017,12/31/2017
040027,BAXTER REGIONAL MEDICAL CENTER,OP-26,3692,0,164,651,283,555,200,173,82,,01/01/2017,12/31/2017
040029,CONWAY REGIONAL MEDICAL CENTER,OP-26,2127,1016,8,2501,217,1920,179,0,1549,,01/01/2017,12/31/2017
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,OP-26,1124,0,26,572,748,575,404,176,24,,01/01/2017,12/31/2017
040039,ARKANSAS METHODIST MEDICAL CENTER,OP-26,1263,0,10,58,58,130,34,3,15,,01/01/2017,12/31/2017
040041,ST MARYS REGIONAL MEDICAL CENTER,OP-26,2191,216,0,970,0,304,865,27,1767,,01/01/2017,12/31/2017
040047,FIVE RIVERS MEDICAL CENTER,OP-26,540,0,0,510,0,0,0,0,0,,01/01/2017,12/31/2017
040050,OUACHITA COUNTY MEDICAL CENTER,OP-26,469,324,0,12,147,1,0,0,2,,01/01/2017,12/31/2017
040051,DREW MEMORIAL HOSPITAL,OP-26,243,214,0,2,24,200,0,0,0,,01/01/2017,12/31/2017
040055,SPARKS REGIONAL MEDICAL CENTER,OP-26,7713,10,6,193,3118,707,143,200,121,,01/01/2017,12/31/2017
040062,MERCY HOSPITAL FORT SMITH,OP-26,3363,232,98,1608,1875,405,136,227,58,,01/01/2017,12/31/2017
040067,MAGNOLIA HOSPITAL,OP-26,197,441,0,99,15,0,0,1,1,,01/01/2017,12/31/2017
040069,GREAT RIVER MEDICAL CENTER,OP-26,420,0,0,13,325,3,0,1,3,,01/01/2017,12/31/2017
040071,JEFFERSON REGIONAL MEDICAL CENTER,OP-26,189,0,55,201,117,1032,36,1,21,,01/01/2017,12/31/2017
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,OP-26,268,0,0,66,17,75,0,0,0,,01/01/2017,12/31/2017
040074,NORTH METRO MEDICAL CENTER,OP-26,0,0,0,6,3,0,0,1,23,,01/01/2017,12/31/2017
040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,OP-26,174,0,0,1,55,0,0,0,2,,01/01/2017,12/31/2017
040078,NATIONAL PARK MEDICAL CENTER,OP-26,1198,0,23,386,104,235,313,37,35,,01/01/2017,12/31/2017
040084,SALINE MEMORIAL HOSPITAL,OP-26,2366,0,30,540,1551,229,263,0,19,,01/01/2017,12/31/2017
040085,HELENA REGIONAL MEDICAL CENTER,OP-26,233,28,0,6,13,15,0,0,0,,01/01/2017,12/31/2017
040088,MEDICAL CENTER OF SOUTH ARKANSAS,OP-26,231,0,0,35,240,286,127,8,10,,01/01/2017,12/31/2017
040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,OP-26,1150,1238,363,719,628,1969,1422,517,68,,01/01/2017,12/31/2017
040118,NEA BAPTIST MEMORIAL HOSPITAL,OP-26,3414,0,165,864,235,252,425,139,0,,01/01/2017,12/31/2017
040119,WHITE RIVER MEDICAL CENTER,OP-26,3157,0,440,729,1127,502,267,99,12,,01/01/2017,12/31/2017
040132,LEVI HOSPITAL,OP-26,0,0,0,0,0,0,0,0,0,,01/01/2017,12/31/2017
040134,"ARKANSAS HEART HOSPITAL, LLC",OP-26,191,0,0,0,3,2,852,0,329,,01/01/2017,12/31/2017
040137,ST VINCENT MEDICAL CENTER/NORTH,OP-26,390,0,14,42,11,40,30,0,3,,01/01/2017,12/31/2017
040147,ARKANSAS SURGICAL HOSPITAL,OP-26,0,0,1410,3522,142,0,0,0,20,,01/01/2017,12/31/2017
040152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,OP-26,188,0,4,870,33,7,0,0,0,,01/01/2017,12/31/2017
040153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,OP-26,0,0,0,0,51,0,0,0,0,,01/01/2017,12/31/2017
040154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,OP-26,189,0,0,161,80,86,92,78,9,,01/01/2017,12/31/2017
