Provider ID,Hospital name,State,ZIP Code,Latitude,Longitude
010090,PROVIDENCE HOSPITAL,AL,36608,30.68169,-88.198329
010091,GROVE HILL MEMORIAL HOSPITAL,AL,36451,31.694213,-87.777231
010092,D C H REGIONAL MEDICAL CENTER,AL,35401,33.20613,-87.525154
010095,HALE COUNTY HOSPITAL,AL,36744,32.412098,-87.018633
010097,ELMORE COMMUNITY HOSPITAL,AL,36092,32.551957,-86.185643
010099,D W MCMILLAN MEMORIAL HOSPITAL,AL,36426,31.127105,-87.072378
010100,THOMAS HOSPITAL,AL,36532,30.519999,-87.890333
010101,CITIZENS BAPTIST MEDICAL CENTER,AL,35161,33.439801,-86.090641
010102,J PAUL JONES HOSPITAL,AL,36726,31.996611,-87.299424
010103,PRINCETON BAPTIST MEDICAL CENTER,AL,35211,33.499133,-86.846016
010104,GRANDVIEW MEDICAL CENTER,AL,35243,33.434363,-86.720483
010108,PRATTVILLE BAPTIST HOSPITAL,AL,36067,32.464423,-86.450936
010109,PICKENS COUNTY MEDICAL CENTER,AL,35447,33.274807,-88.089673
010110,BULLOCK COUNTY HOSPITAL,AL,36089,32.146182,-85.71638
010112,BRYAN W. WHITFIELD MEMORIAL HOSPITAL,AL,36732,32.503676,-87.836744
010113,MOBILE INFIRMARY MEDICAL CENTER,AL,36652,30.696443,-88.081017
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",AL,35021,33.373086,-86.991709
010118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,AL,36701,32.430248,-87.055174
010120,MONROE COUNTY HOSPITAL,AL,36460,31.497839,-87.319411
010125,LAKELAND COMMUNITY HOSPITAL,AL,35565,34.241718,-87.589857
010126,TROY REGIONAL MEDICAL CENTER,AL,36081,31.780322,-85.945529
010128,JACKSON MEDICAL CENTER,AL,36545,31.530482,-87.89318
010129,NORTH BALDWIN INFIRMARY,AL,36507,30.902492,-87.783318
010130,ST VINCENT'S ST CLAIR,AL,35125,33.605568,-86.30238
010131,CRESTWOOD MEDICAL CENTER,AL,35801,34.718428,-86.556439
010138,HILL HOSPITAL OF SUMTER COUNTY,AL,36925,32.491825,-88.296081
010139,BROOKWOOD BAPTIST MEDICAL CENTER,AL,35209,33.46291,-86.77685
010144,SPRINGHILL MEMORIAL HOSPITAL,AL,36608,30.685946,-88.131719
010146,RMC JACKSONVILLE,AL,36265,33.785191,-85.761263
010148,EVERGREEN MEDICAL CENTER,AL,36401,31.43126,-86.94205
010149,BAPTIST MEDICAL CENTER EAST,AL,36117,32.376821,-86.172095
010150,L V STABLER MEMORIAL HOSPITAL,AL,36037,31.82945,-86.64586
010157,SHOALS HOSPITAL,AL,35661,34.744941,-87.676511
010158,RUSSELLVILLE HOSPITAL,AL,35653,34.511165,-87.717585
010164,COOSA VALLEY MEDICAL CENTER,AL,35150,33.164666,-86.254598
010168,JACK HUGHSTON MEMORIAL HOSPITAL,AL,36867,32.509045,-85.005696
010169,ATMORE COMMUNITY HOSPITAL,AL,36502,31.01657,-87.479735
010173,ST VINCENT'S CHILTON,AL,35045,32.876585,-86.623511
011300,WASHINGTON COUNTY HOSPITAL,AL,36518,31.460296,-88.235291
011302,RED BAY HOSPITAL,AL,35582,34.457425,-88.146934
011304,CHOCTAW GENERAL HOSPITAL,AL,36904,32.098332,-88.211845
011305,ST VINCENTS BLOUNT,AL,35121,33.932537,-86.493059
013300,CHILDREN'S HOSPITAL OF ALABAMA,AL,35233,33.503222,-86.805381
013301,UNIVERSITY OF S A CHILDREN'S AND WOMEN'S HOS,AL,36604,30.696082,-88.076883
020001,PROVIDENCE ALASKA MEDICAL CENTER,AK,99508,61.189798,-149.817622
020006,MAT-SU REGIONAL MEDICAL CENTER,AK,99645,61.561217,-149.258718
020008,BARTLETT REGIONAL HOSPITAL,AK,99801,58.328696,-134.466829
020012,FAIRBANKS MEMORIAL HOSPITAL,AK,99701,64.831407,-147.736254
020017,ALASKA REGIONAL HOSPITAL,AK,99508,61.20979,-149.827379
020018,YUKON KUSKOKWIM DELTA REG HOSPITAL,AK,99559,60.79221999999999,-161.75583
020024,CENTRAL PENINSULA GENERAL HOSPITAL,AK,99669,60.493865,-151.077658
020026,ALASKA NATIVE MEDICAL CENTER,AK,99508,61.18189,-149.800578
021301,PROVIDENCE VALDEZ MEDICAL CENTER,AK,99686,61.13083,-146.34833
021302,PROVIDENCE SEWARD HOSPITAL,AK,99664,60.105046,-149.445383
021303,SITKA COMMUNITY HOSPITAL,AK,99835,57.058992,-135.345929
021304,PETERSBURG MEDICAL CENTER,AK,99833,56.767056000000004,-132.93195
021305,WRANGELL MEDICAL CENTER,AK,99929,56.471646,-132.376414
021306,PROVIDENCE KODIAK ISLAND MEDICAL CTR,AK,99615,57.800835,-152.373943
021307,CORDOVA COMMUNITY MEDICAL CENTER,AK,99574,60.536166,-145.75335
021308,NORTON SOUND REGIONAL HOSPITAL,AK,99762,P O BOX 966) NOME,
021309,KANAKANAK HOSPITAL,AK,99576,59.040181000000004,-158.523138
021310,MANIILAQ HEALTH CENTER,AK,99752,66.865256,-161.780844
021311,KETCHIKAN MEDICAL CENTER,AK,99901,55.352717,-131.686049
021312,SAMUEL SIMMONDS MEMORIAL HOSPITAL,AK,99723,71.298135,-156.72732
021313,SOUTH PENINSULA HOSPITAL,AK,99603,59.652133,-151.550296
021314,MT EDGECUMBE HOSPITAL,AK,99835,57.05201,-135.356353
030002,BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,AZ,85006,33.465724,-112.058127
030006,TUCSON MEDICAL CENTER,AZ,85712,32.250749,-110.880169
030007,VERDE VALLEY MEDICAL CENTER,AZ,86326,34.736201,-112.031784
030010,ST. MARY'S HOSPITAL,AZ,85745,32.228923,-111.000032
030011,ST JOSEPH'S HOSPITAL,AZ,85711,32.225946,-110.857838
030012,YAVAPAI REGIONAL MEDICAL CENTER,AZ,86301,34.55938,-112.482065
030013,YUMA REGIONAL MEDICAL CENTER,AZ,85364,32.683899,-114.633238
030014,JOHN C. LINCOLN NORTH MOUNTAIN HOSPITAL,AZ,85020,33.567754,-112.07063
030016,BANNER CASA GRANDE MEDICAL CENTER,AZ,85122,32.879608,-111.709253
030022,MARICOPA MEDICAL CENTER,AZ,85008,33.458525,-112.02643
030023,FLAGSTAFF MEDICAL CENTER,AZ,86001,35.209534,-111.644835
030024,ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER,AZ,85013,33.480294,-112.079208
030030,ABRAZO CENTRAL CAMPUS,AZ,85015,33.524116,-112.101934
030036,CHANDLER REGIONAL MEDICAL CENTER,AZ,85224,33.298691,-111.873508
030037,ST LUKE'S MEDICAL CENTER,AZ,85006,33.451436,-112.042767
030038,SCOTTSDALE OSBORN MEDICAL CENTER,AZ,85251,33.487639,-111.922725
030043,CANYON VISTA MEDICAL CENTER,AZ,85635,31.554635,-110.230726
030055,KINGMAN REGIONAL MEDICAL CENTER,AZ,86409,35.219907,-114.035813
030061,BANNER BOSWELL MEDICAL CENTER,AZ,85351,33.604798,-112.282538
030062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,AZ,85901,34.201967,-110.01839
030064,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,85724,32.240663,-110.944717
030065,BANNER DESERT MEDICAL CENTER,AZ,85202,33.39091,-111.874624
030068,MT. GRAHAM REGIONAL MEDICAL CENTER,AZ,85546,32.821883,-109.732994
030069,HAVASU REGIONAL MEDICAL CENTER,AZ,86403,34.47998,-114.338537
030071,FORT DEFIANCE INDIAN HOSPITAL,AZ,86504,35.74682,-109.0685
030073,TUBA CITY REGIONAL HEALTH CARE CORPORATION,AZ,86045,36.132723,-111.241773
030074,SELLS HOSPITAL,AZ,85634,32.174931,-112.15740600000001
030077,SAN CARLOS APACHE HEALTHCARE,AZ,85542,33.30155,-110.45537
030078,PHOENIX INDIAN MEDICAL CENTER,AZ,85016,33.49701,-112.047613
030083,ABRAZO SCOTTSDALE CAMPUS,AZ,85032,33.640603,-111.997692
030084,CHINLE COMPREHENSIVE HEALTH CARE FACILITY,AZ,86503,34.504275,-109.36105500000001
030085,NORTHWEST MEDICAL CENTER,AZ,85741,32.319581,-111.012054
030087,SCOTTSDALE SHEA MEDICAL CENTER,AZ,85260,33.582467,-111.886032
030088,BANNER BAYWOOD MEDICAL CENTER,AZ,85206,33.410465,-111.688045
030089,BANNER THUNDERBIRD MEDICAL CENTER,AZ,85306,33.610731,-112.178698
030092,HONORHEALTH DEER VALLEY MEDICAL CENTER,AZ,85027,33.666425,-112.117188
030093,BANNER DEL E. WEBB MEDICAL CENTER,AZ,85375,33.658307,-112.371939
030094,ABRAZO ARROWHEAD CAMPUS,AZ,85308,33.655042,-112.202889
030101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,AZ,86442,35.109853,-114.555146
030103,MAYO CLINIC HOSPITAL,AZ,85054,33.663312,-111.955659
030105,BANNER HEART HOSPITAL,AZ,85206,33.410378,-111.685273
030107,ARIZONA SPINE AND JOINT HOSPITAL,AZ,85206,33.379206,-111.734695
030108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",AZ,85015,33.531837,-112.099614
030110,ABRAZO WEST CAMPUS,AZ,85395,33.464283,-112.354024
030111,BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,AZ,85713,32.177882,-110.930891
030112,ARIZONA SPECIALTY HOSPITAL,AZ,85224,33.33484,-111.891133
030113,WHITERIVER PHS INDIAN HOSPITAL,AZ,85941,33.875976,-109.959528
030114,ORO VALLEY HOSPITAL,AZ,85755,32.427183,-110.94954
030115,BANNER ESTRELLA MEDICAL CENTER,AZ,85037,33.479558,-112.257936
030117,VALLEY VIEW MEDICAL CENTER,AZ,86426,35.002363,-114.597954
030119,MERCY GILBERT MEDICAL CENTER,AZ,85297,33.286661,-111.755311
030121,"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ,85209,33.3911,-111.615329
030122,BANNER GATEWAY MEDICAL CENTER,AZ,85234,33.384225,-111.719634
030123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,AZ,85255,33.669777,-111.921803
030130,BANNER IRONWOOD MEDICAL CENTER,AZ,85140,33.214839,-111.563447
030131,O.A.S.I.S. HOSPITAL,AZ,85008,33.45672,-111.99521
030134,BANNER GOLDFIELD MEDICAL CENTER,AZ,85120,33.393343,-111.566796
030136,DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL,AZ,85339,33.380677,-112.168233
030137,SANTA CRUZ VALLEY REGIONAL HOSPITAL,AZ,85614,31.807943,-111.010966
030138,WESTERN REGIONAL MEDICAL CENTER,AZ,85338,33.452804,-112.362571
031300,WICKENBURG COMMUNITY HOSPITAL,AZ,85390,33.978056,-112.738825
031301,BENSON HOSPITAL,AZ,85602,31.964829,-110.307123
031302,"NORTHERN COCHISE COMMUNITY HOSPITAL, INC.",AZ,85643,32.264268,-109.837613
031304,PAGE HOSPITAL,AZ,86040,36.91696,-111.463186
031305,HOPI HEALTH CARE CENTER,AZ,86042,35.83667,-110.38152
031307,PARKER INDIAN HEALTH CENTER,AZ,85344,34.146494,-114.301314
031308,HUHU KAM MEMORIAL HOSPITAL,AZ,85147,33.074122,-111.75908
031309,SAGE MEMORIAL HOSPITAL,AZ,86505,35.725738,-109.585853
031311,LITTLE COLORADO MEDICAL CENTER,AZ,86047,35.035455,-110.691742
031312,COPPER QUEEN COMMUNITY HOSPITAL,AZ,85603,31.417254,-109.8826
031313,HOLY CROSS HOSPITAL,AZ,85621,31.341118,-110.958734
031314,COBRE VALLEY REGIONAL MEDICAL CENTER,AZ,85501,33.407206,-110.826224
031315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,AZ,85938,34.132136,-109.286545
031317,LA PAZ REGIONAL HOSPITAL,AZ,85344,34.135137,-114.285597
031318,BANNER PAYSON MEDICAL CENTER,AZ,85541,34.231351,-111.321361
033302,PHOENIX CHILDREN'S HOSPITAL,AZ,85016,33.480216,-112.041193
033303,"HACIENDA CHILDREN'S HOSPITAL, INC.",AZ,85210,33.381128,-111.844892
040001,SILOAM SPRINGS REGIONAL HOSPITAL,AR,72761,36.190377,-94.509658
040002,JOHNSON REGIONAL MEDICAL CENTER,AR,72830,35.464384,-93.445797
040004,WASHINGTON REGIONAL MEDICAL CENTER,AR,72703,36.110984,-94.157862
040007,CHI-ST VINCENT INFIRMARY,AR,72205,34.750326,-92.351206
040010,MERCY HOSPITAL NORTHWEST ARKANSAS,AR,72758,36.309562,-94.184709
040011,CHAMBERS MEMORIAL HOSPITAL,AR,72833,35.054823,-93.388543
040014,WHITE COUNTY MEDICAL CENTER,AR,72143,35.250446,-91.696758
040015,MENA REGIONAL HEALTH SYSTEM,AR,71953,34.588386,-94.221383
040016,UAMS MEDICAL CENTER,AR,72205,34.751583,-92.320998
040017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,AR,72601,36.236281,-93.107148
040018,SPARKS MEDICAL CENTER - VAN BUREN,AR,72956,35.436537,-94.338093
040019,FORREST CITY MEDICAL CENTER,AR,72335,35.039275,-90.771894
040020,ST BERNARDS MEDICAL CENTER,AR,72401,35.837478,-90.702142
040022,NORTHWEST MEDICAL CENTER-SPRINGDALE,AR,72764,36.181394,-94.136464
040026,CHI ST. VINCENT HOSPITAL HOT SPRINGS,AR,71903,34.466035,-93.066396
040027,BAXTER REGIONAL MEDICAL CENTER,AR,72653,36.343067,-92.395905
040029,CONWAY REGIONAL MEDICAL CENTER,AR,72034,35.084826,-92.457103
040036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,AR,72117,34.784075,-92.218633
040039,ARKANSAS METHODIST MEDICAL CENTER,AR,72450,36.052593,-90.499051
040041,ST MARYS REGIONAL MEDICAL CENTER,AR,72801,35.28286,-93.149908
040047,FIVE RIVERS MEDICAL CENTER,AR,72455,36.289911,-90.996334
040050,OUACHITA COUNTY MEDICAL CENTER,AR,71701,33.575972,-92.83613299999999
040051,DREW MEMORIAL HOSPITAL,AR,71655,33.610628,-91.814978
040055,SPARKS REGIONAL MEDICAL CENTER,AR,72902,35.374527,-94.421311
040062,MERCY HOSPITAL FORT SMITH,AR,72917,35.353647,-94.352964
040067,MAGNOLIA HOSPITAL,AR,71754,33.275123,-93.240071
040069,GREAT RIVER MEDICAL CENTER,AR,72315,35.943011,-89.918929
040071,JEFFERSON REGIONAL MEDICAL CENTER,AR,71603,34.189066,-92.018453
040072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,AR,72160,34.517773,-91.557572
040074,NORTH METRO MEDICAL CENTER,AR,72076,34.872381,-92.124697
040076,BAPTIST HEALTH MEDICAL CENTER-HOT SPRINGS COUNTY,AR,72104,34.358913,-92.786418
040078,NATIONAL PARK MEDICAL CENTER,AR,71901,34.486239,-93.033554
040084,SALINE MEMORIAL HOSPITAL,AR,72015,34.573552,-92.584405
040085,HELENA REGIONAL MEDICAL CENTER,AR,72342,34.508357,-90.62733
040088,MEDICAL CENTER OF SOUTH ARKANSAS,AR,71730,33.218378,-92.67103
040114,BAPTIST HEALTH MEDICAL CENTER-LITTLE ROCK,AR,72205,34.75356,-92.4007
040118,NEA BAPTIST MEMORIAL HOSPITAL,AR,72401,35.864204,-90.639107
040119,WHITE RIVER MEDICAL CENTER,AR,72503,35.769572,-91.634721
040132,LEVI HOSPITAL,AR,71901,34.509945,-93.056649
040134,"ARKANSAS HEART HOSPITAL, LLC",AR,72211,34.739159,-92.394421
040137,ST VINCENT MEDICAL CENTER/NORTH,AR,72120,34.814378,-92.207514
040147,ARKANSAS SURGICAL HOSPITAL,AR,72118,34.801458,-92.347687
040152,NORTHWEST HEALTH PHYSICIANS SPECIALTY HOSPITAL,AR,72703,36.12133,-94.13373
040153,WADLEY REGIONAL MEDICAL CENTER AT HOPE,AR,71801,33.648008,-93.587052
040154,BAPTIST HEALTH MEDICAL CENTER-CONWAY,AR,72032,35.07431,-92.420985
040155,ARKANSAS CONTINUED CARE HOSPITAL OF JONESBORO,AR,72401,35.811403,-90.669085
041300,NORTH LOGAN MERCY HOSPITAL,AR,72855,35.289988,-93.725419
041302,RIVER VALLEY MEDICAL CENTER,AR,72834,35.220917,-93.156987
041303,MERCY HOSPITAL TURNER MEMORIAL,AR,72949,35.486118,-93.833805
041304,"EUREKA SPRINGS HOSPITAL, LLC",AR,72632,36.400433,-93.744699
041305,MERCY HOSPITAL WALDRON,AR,72958,34.896785,-94.106078
041306,"IZARD COUNTY MEDICAL CENTER, LLC",AR,72519,36.126336,-92.128587
041307,CROSSRIDGE COMMUNITY HOSPITAL,AR,72396,35.220353,-90.787421
041308,MCGEHEE HOSPITAL,AR,71654,33.618285,-91.393066
041309,LAWRENCE MEMORIAL HOSPITAL,AR,72476,36.074701,-90.966982
041310,STONE COUNTY MEDICAL CENTER,AR,72560,35.855598,-92.082727
041311,HOWARD MEMORIAL HOSPITAL,AR,71852,33.950926,-93.880772
041312,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,AR,72543,35.506578,-92.001319
041313,OZARK HEALTH,AR,72031,35.559375,-92.449913
041314,"DEWITT HOSPITAL & NURSING HOME, INC",AR,72042,34.279598,-91.336892
041316,SOUTH MISSISSISSPI COUNTY REGIONAL MEDICAL CENTER,AR,72370,35.700249,-89.97493
041317,DALLAS COUNTY MEDICAL CENTER,AR,71742,33.811158,-92.425058
041318,MERCY HOSPITAL BOONEVILLE,AR,72927,35.140979,-93.934703
041319,"DE QUEEN MEDICAL CENTER, INC",AR,71832,34.046642,-94.351919
041320,LITTLE RIVER MEMORIAL HOSPITAL,AR,71822,33.669572,-94.135025
041321,BAPTIST HEALTH MEDICAL CENTER-ARKADELPHIA,AR,71923,34.122802,-93.08797
041322,FULTON COUNTY HOSPITAL,AR,72576,36.383359,-91.811203
041323,ASHLEY COUNTY MEDICAL CENTER,AR,71635,33.137206,-91.93878
041324,CHI ST VINCENT MORRILTON,AR,72110,35.16997,-92.721702
041326,DELTA MEMORIAL HOSPITAL,AR,71639,33.873294,-91.4815
041327,BRADLEY COUNTY MEDICAL CENTER,AR,71671,33.610538,-92.058665
041328,CHICOT MEMORIAL MEDICAL CENTER,AR,71653,33.511592,-91.364525
041329,MERCY HOSPITAL BERRYVILLE,AR,72616,36.358225,-93.551993
041330,PIGGOTT COMMUNITY HOSPITAL,AR,72454,36.390183,-90.204259
041331,OZARKS COMMUNITY HOSPITAL OF GRAVETTE,AR,72736,36.408563,-94.45987
043300,ARKANSAS CHILDREN'S HOSPITAL,AR,72202,34.742822,-92.292006
043301,"ARKANSAS CHILDREN'S NORTHWEST, INC",AR,72762,36.163325,-94.192602
050002,ST ROSE HOSPITAL,CA,94545,37.63291,-122.089742
050006,ST JOSEPH HOSPITAL,CA,95501,40.783103,-124.142039
050007,MILLS-PENINSULA MEDICAL CENTER,CA,94010,37.594398,-122.383356
050008,CALIFORNIA PACIFIC MEDICAL CTR-DAVIES CAMPUS HOSP,CA,94117,37.769114,-122.434696
050009,QUEEN OF THE VALLEY MEDICAL CENTER,CA,94558,38.323554,-122.295968
050013,ADVENTIST HEALTH ST HELENA,CA,94574,38.54196,-122.475344
050014,SUTTER AMADOR HOSPITAL,CA,95642,38.349561,-120.765905
050017,MERCY GENERAL HOSPITAL,CA,95819,38.569385,-121.452482
050022,RIVERSIDE COMMUNITY HOSPITAL,CA,92501,33.975677,-117.380374
050024,PARADISE VALLEY HOSPITAL,CA,91950,32.686336,-117.083243
050025,UC SAN DIEGO HEALTH HILLCREST - HILLCREST MED CTR,CA,92103,32.753717,-117.165914
050026,GROSSMONT HOSPITAL,CA,91942,32.779435,-117.009178
050028,MAD RIVER COMMUNITY HOSPITAL,CA,95521,40.903309,-124.090847
050030,OROVILLE HOSPITAL,CA,95966,39.504535,-121.542106
050036,BAKERSFIELD MEMORIAL HOSPITAL,CA,93301,35.390474,-119.006836
050038,SANTA CLARA VALLEY MEDICAL CENTER,CA,95128,37.313702,-121.931888
050039,ENLOE MEDICAL CENTER,CA,95926,39.742284,-121.849128
050040,LAC/OLIVE VIEW-UCLA MEDICAL CENTER,CA,91342,34.325912,-118.445513
050042,ST ELIZABETH COMMUNITY HOSPITAL,CA,96080,40.148834,-122.218303
050043,ALTA BATES SUMMIT MEDICAL CENTER,CA,94609,37.820784,-122.26328
050045,EL CENTRO REGIONAL MEDICAL CENTER,CA,92243,32.781498,-115.56862
050047,CALIFORNIA PACIFIC MEDICAL CTR-PACIFIC CAMPUS HOSP,CA,94115,37.791321,-122.430983
050054,SAN GORGONIO MEMORIAL HOSPITAL,CA,92220,33.932829,-116.94673200000001
050055,CALIFORNIA PACIFIC MEDICAL CTR - ST. LUKE'S CAMPUS,CA,94110,37.74805,-122.420987
050056,ANTELOPE VALLEY HOSPITAL,CA,93534,34.689371,-118.158476
050057,KAWEAH DELTA MEDICAL CENTER,CA,93291,36.327415,-119.294172
050058,GLENDALE MEM HOSPITAL & HLTH CENTER,CA,91204,34.127789,-118.257795
050060,COMMUNITY REGIONAL MEDICAL CENTER,CA,93721,36.742583,-119.783023
050063,HOLLYWOOD PRESBYTERIAN MEDICAL CENTER,CA,90027,34.096116,-118.291753
050067,OAK VALLEY HOSPITAL DISTRICT,CA,95361,37.758098,-120.860363
050069,ST JOSEPH HOSPITAL,CA,92868,33.782399,-117.866093
050070,KAISER FOUNDATION HOSPITAL - SOUTH SAN FRANCISCO,CA,94080,37.658376,-122.439205
050071,KAISER FOUNDATION HOSPITAL-SANTA CLARA,CA,95051,37.335456,-121.995767
050072,KAISER FOUNDATION HOSPITAL - WALNUT CREEK,CA,94596,37.891512,-122.057943
050073,KAISER FOUNDATION HOSPITAL AND REHAB CENTER,CA,94589,38.128437,-122.247586
050075,KAISER FOUNDATION HOSPITAL - OAKLAND/RICHMOND,CA,94611,37.823857,-122.257589
050076,KAISER FOUNDATION HOSPITAL - SAN FRANCISCO,CA,94115,37.782778,-122.443222
050077,SCRIPPS MERCY HOSPITAL,CA,92103,32.751211,-117.161024
050078,PROVIDENCE LITTLE CO OF MARY MED CTR SAN PEDRO,CA,90732,33.737928,-118.305005
050082,ST JOHNS REGIONAL MEDICAL CENTER,CA,93030,34.216555,-119.158351
050084,ST JOSEPH'S MEDICAL CENTER OF STOCKTON,CA,95204,37.970737,-121.289251
050089,COMMUNITY HOSPITAL OF SAN BERNARDINO,CA,92411,34.131238,-117.322559
050090,SONOMA VALLEY HOSPITAL,CA,95476,38.288564,-122.46585
050091,COMMUNITY HOSPITAL OF HUNTINGTON PARK,CA,90255,33.989182,-118.22419
050093,SAINT AGNES MEDICAL CENTER,CA,93710,36.837102,-119.765878
050096,"WEST COVINA MEDICAL CENTER, INC",CA,91790,34.070928,-117.944166
050099,SAN ANTONIO REGIONAL HOSPITAL,CA,91786,34.101079,-117.636862
050100,SHARP MEMORIAL HOSPITAL,CA,92123,32.800255,-117.154133
050101,SUTTER SOLANO MEDICAL CENTER,CA,94589,38.130893,-122.238105
050102,PARKVIEW COMMUNITY HOSPITAL MEDICAL CENTER,CA,92503,33.925697,-117.440052
050103,WHITE MEMORIAL MEDICAL CENTER,CA,90033,34.05038,-118.211991
050104,SAINT FRANCIS MEDICAL CENTER,CA,90262,33.931016,-118.203834
050107,MARIAN REGIONAL MEDICAL CENTER,CA,93454,34.952117,-120.412494
050108,"SUTTER MEDICAL CENTER, SACRAMENTO",CA,95816,38.570258,-121.469682
050110,LOMPOC VALLEY MEDICAL CENTER,CA,93436,34.640639,-120.439899
050112,SANTA MONICA - UCLA MED CTR & ORTHOPAEDIC HOSPITAL,CA,90404,34.027776,-118.486315
050113,SAN MATEO MEDICAL CENTER,CA,94403,37.530116,-122.299406
050115,PALOMAR HEALTH DOWNTOWN CAMPUS,CA,92025,33.125937,-117.076186
050116,NORTHRIDGE HOSPITAL MEDICAL CENTER,CA,91325,34.220789,-118.533216
050118,DOCTORS HOSPITAL OF MANTECA,CA,95336,37.801087,-121.19691
