Hospital_Name,Provider ID,State,FISCAL_YEAR,DOMAIN_1_SCORE,DOMAIN_1_FOOTNOTE,DOMAIN_1_START_DATE,DOMAIN_1_END_DATE,PSI_90_W_Z_Score,PSI_90_FOOTNOTE,DOMAIN_2_SCORE,DOMAIN_2_FOOTNOTE,CLABSI_W_Z_SCORE,CLABSI_FOOTNOTE,CAUTI_W_Z_SCORE,CAUTI_FOOTNOTE,SSI_W_Z_SCORE,SSI_FOOTNOTE,MRSA_W_Z_SCORE,MRSA_FOOTNOTE,CDI_W_Z_SCORE,CDI_FOOTNOTE,DOMAIN_2_START_DATE,DOMAIN_2_END_DATE,TOTAL_HAC_SCORE,TOTAL_HAC_FOOTNOTE,PAYMENT_REDUCTION,PAYMENT_REDUCTION_FOOTNOTE
DALE MEDICAL CENTER,010021,AL,2019,1.6187,,10/01/2015,06/30/2017,1.6187,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.3932,,No,
FLOYD CHEROKEE MEDICAL CENTER,010022,AL,2019,0.0161,,10/01/2015,06/30/2017,0.0161,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0161,,No,
BAPTIST MEDICAL CENTER SOUTH,010023,AL,2019,-1.1151,,10/01/2015,06/30/2017,-1.1151,,0.0557,,-0.1305,,0.151,,-0.7645,,0.0625,,0.9598,,01/01/2016,12/31/2017,-0.12,,No,
JACKSON HOSPITAL & CLINIC INC,010024,AL,2019,2.3181,,10/01/2015,06/30/2017,2.3181,,0.8099,,1.7051,,0.608,,0.1108,,0.2899,,1.3356,,01/01/2016,12/31/2017,1.0361,,Yes,
EAST ALABAMA MEDICAL CENTER,010029,AL,2019,-1.1795,,10/01/2015,06/30/2017,-1.1795,,0.1127,,0.4475,,0.8034,,-0.9865,,0.8534,,-0.5543,,01/01/2016,12/31/2017,-0.0811,,No,
TANNER MEDICAL CENTER-EAST ALABAMA,010032,AL,2019,0.0536,,10/01/2015,06/30/2017,0.0536,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0536,,No,
UNIVERSITY OF ALABAMA HOSPITAL,010033,AL,2019,1.6943,,10/01/2015,06/30/2017,1.6943,,-0.3162,,-0.365,,-0.9672,,-0.1443,,0.4471,,-0.5515,,01/01/2016,12/31/2017,-0.0146,,No,
COMMUNITY HOSPITAL INC,010034,AL,2019,-0.1816,,10/01/2015,06/30/2017,-0.1816,,0.2801,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.2801,,01/01/2016,12/31/2017,0.2109,,No,
CULLMAN REGIONAL MEDICAL CENTER,010035,AL,2019,0.3924,,10/01/2015,06/30/2017,0.3924,,-0.6447,,-0.7122,,-0.5817,,-0.3333,,-0.7685,,-0.8278,,01/01/2016,12/31/2017,-0.4891,,No,
ANDALUSIA HEALTH,010036,AL,2019,-0.4885,,10/01/2015,06/30/2017,-0.4885,,-1.0854,,Not Available,5 - Results are not available for this reporting period.,-0.8416,,-1.4966,,-1.4406,,-0.5626,,01/01/2016,12/31/2017,-0.9958,,No,
BAPTIST MEDICAL CENTER EAST,010149,AL,2019,-0.5287,,10/01/2015,06/30/2017,-0.5287,,0.0444,,0.6229,,-0.1107,,-0.737,,0.3902,,0.0563,,01/01/2016,12/31/2017,-0.0416,,No,
STRINGFELLOW MEMORIAL HOSPITAL,010038,AL,2019,-0.6984,,10/01/2015,06/30/2017,-0.6984,,-0.0449,,2.2018,,-0.887,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.4495,,01/01/2016,12/31/2017,-0.1429,,No,
HUNTSVILLE HOSPITAL,010039,AL,2019,-0.3979,,10/01/2015,06/30/2017,-0.3979,,0.1867,,0.3312,,0.2015,,0.2667,,1.1109,,-0.977,,01/01/2016,12/31/2017,0.099,,No,
GADSDEN REGIONAL MEDICAL CENTER,010040,AL,2019,0.7521,,10/01/2015,06/30/2017,0.7521,,0.3243,,1.0403,,-0.4369,,-1.4966,,2.196,,0.3188,,01/01/2016,12/31/2017,0.3885,,Yes,
MARION REGIONAL MEDICAL CENTER,010044,AL,2019,-0.0134,,10/01/2015,06/30/2017,-0.0134,,1.9711,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.6734,,Yes,
FAYETTE MEDICAL CENTER,010045,AL,2019,-0.2944,,10/01/2015,06/30/2017,-0.2944,,1.9711,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.6313,,Yes,
RIVERVIEW REGIONAL MEDICAL CENTER,010046,AL,2019,-1.5577,,10/01/2015,06/30/2017,-1.5577,,-0.1106,,0.0301,,0.0411,,-1.4966,,1.8716,,-0.9991,,01/01/2016,12/31/2017,-0.3276,,No,
GEORGIANA MEDICAL CENTER,010047,AL,2019,-0.0749,,10/01/2015,06/30/2017,-0.0749,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0749,,No,
MEDICAL CENTER ENTERPRISE,010049,AL,2019,-0.9605,,10/01/2015,06/30/2017,-0.9605,,-0.3199,,Not Available,5 - Results are not available for this reporting period.,0.915,,-0.1626,,Not Available,5 - Results are not available for this reporting period.,-1.712,,01/01/2016,12/31/2017,-0.416,,No,
GREENE COUNTY HOSPITAL,010051,AL,2019,0.0466,,10/01/2015,06/30/2017,0.0466,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0466,,No,
LAKE MARTIN COMMUNITY HOSPITAL,010052,AL,2019,-0.0855,,10/01/2015,06/30/2017,-0.0855,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0855,,No,
FLOWERS HOSPITAL,010055,AL,2019,-0.4084,,10/01/2015,06/30/2017,-0.4084,,-0.2797,,-0.6587,,0.1981,,-0.3718,,-0.1114,,-0.4548,,01/01/2016,12/31/2017,-0.299,,No,
ST VINCENT'S BIRMINGHAM,010056,AL,2019,0.4539,,10/01/2015,06/30/2017,0.4539,,0.0306,,1.0735,,0.3062,,-0.3113,,-0.1348,,-0.7809,,01/01/2016,12/31/2017,0.0941,,No,
BIBB MEDICAL CENTER,010058,AL,2019,0.0342,,10/01/2015,06/30/2017,0.0342,,-0.01,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.01,,01/01/2016,12/31/2017,-0.0033,,No,
LAWRENCE MEDICAL CENTER,010059,AL,2019,-0.0675,,10/01/2015,06/30/2017,-0.0675,,1.9711,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.6653,,Yes,
HIGHLANDS MEDICAL CENTER,010061,AL,2019,2.347,,10/01/2015,06/30/2017,2.347,,0.5965,,2.2018,,-0.1875,,Not Available,5 - Results are not available for this reporting period.,0.213,,0.1586,,01/01/2016,12/31/2017,0.8591,,Yes,
WIREGRASS MEDICAL CENTER,010062,AL,2019,-0.554,,10/01/2015,06/30/2017,-0.554,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.7191,,No,
RUSSELL MEDICAL CENTER,010065,AL,2019,-0.2426,,10/01/2015,06/30/2017,-0.2426,,-0.5541,,-1.4878,,-0.8137,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.6393,,01/01/2016,12/31/2017,-0.5073,,No,
MEDICAL CENTER BARBOUR,010069,AL,2019,-0.3688,,10/01/2015,06/30/2017,-0.3688,,0.8326,,Not Available,5 - Results are not available for this reporting period.,0.0533,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.6119,,01/01/2016,12/31/2017,0.6524,,Yes,
CLAY COUNTY HOSPITAL,010073,AL,2019,-0.0592,,10/01/2015,06/30/2017,-0.0592,,1.9711,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,1.9711,,01/01/2016,12/31/2017,1.6666,,Yes,
NORTHEAST ALABAMA REGIONAL MEDICAL CENTER,010078,AL,2019,-0.413,,10/01/2015,06/30/2017,-0.413,,0.2587,,2.1871,,-0.3619,,-1.0012,,1.9051,,-1.4357,,01/01/2016,12/31/2017,0.1579,,No,
ATHENS LIMESTONE HOSPITAL,010079,AL,2019,-0.5356,,10/01/2015,06/30/2017,-0.5356,,-0.6758,,0.2314,,-1.0562,,-1.4966,,-0.3956,,-0.662,,01/01/2016,12/31/2017,-0.6548,,No,
SOUTH BALDWIN REGIONAL MEDICAL CENTER,010083,AL,2019,-0.0765,,10/01/2015,06/30/2017,-0.0765,,-0.4656,,-1.4878,,-0.5643,,0.2814,,0.2431,,-0.8002,,01/01/2016,12/31/2017,-0.4072,,No,
DECATUR MORGAN HOSPITAL-DECATUR CAMPUS,010085,AL,2019,-0.4101,,10/01/2015,06/30/2017,-0.4101,,-0.4416,,-0.3318,,-0.5625,,-1.0673,,0.9353,,-1.1815,,01/01/2016,12/31/2017,-0.4368,,No,
NORTHWEST MEDICAL CENTER,010086,AL,2019,-0.4651,,10/01/2015,06/30/2017,-0.4651,,-0.4809,,Not Available,5 - Results are not available for this reporting period.,0.0236,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.9853,,01/01/2016,12/31/2017,-0.4785,,No,
UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,010087,AL,2019,-0.5276,,10/01/2015,06/30/2017,-0.5276,,1.1531,,-0.0807,,0.833,,2.1365,,1.2814,,1.5953,,01/01/2016,12/31/2017,0.901,,Yes,
WALKER BAPTIST MEDICAL CENTER,010089,AL,2019,-0.1277,,10/01/2015,06/30/2017,-0.1277,,-0.2505,,-0.0271,,-1.2586,,-0.614,,0.5357,,0.1116,,01/01/2016,12/31/2017,-0.2321,,No,
PROVIDENCE HOSPITAL,010090,AL,2019,1.5531,,10/01/2015,06/30/2017,1.5531,,-0.234,,-0.0603,,-0.5887,,0.2465,,-0.1331,,-0.6344,,01/01/2016,12/31/2017,0.0341,,No,
GROVE HILL MEMORIAL HOSPITAL,010091,AL,2019,0.0009,,10/01/2015,06/30/2017,0.0009,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.6359,,No,
D C H REGIONAL MEDICAL CENTER,010092,AL,2019,-0.1555,,10/01/2015,06/30/2017,-0.1555,,0.3091,,0.7799,,-0.0985,,0.753,,0.0492,,0.0619,,01/01/2016,12/31/2017,0.2394,,No,
HALE COUNTY HOSPITAL,010095,AL,2019,-0.0032,,10/01/2015,06/30/2017,-0.0032,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0032,,No,
ELMORE COMMUNITY HOSPITAL,010097,AL,2019,-0.0008,,10/01/2015,06/30/2017,-0.0008,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0008,,No,
D W MCMILLAN MEMORIAL HOSPITAL,010099,AL,2019,-0.4483,,10/01/2015,06/30/2017,-0.4483,,0.4798,,Not Available,5 - Results are not available for this reporting period.,-0.1665,,-0.1553,,Not Available,5 - Results are not available for this reporting period.,1.7611,,01/01/2016,12/31/2017,0.3405,,No,
THOMAS HOSPITAL,010100,AL,2019,-0.0217,,10/01/2015,06/30/2017,-0.0217,,-0.3036,,0.0855,,0.451,,0.0997,,-0.4642,,-1.6899,,01/01/2016,12/31/2017,-0.2613,,No,
CITIZENS BAPTIST MEDICAL CENTER,010101,AL,2019,-0.1402,,10/01/2015,06/30/2017,-0.1402,,-0.4036,,Not Available,5 - Results are not available for this reporting period.,-0.1369,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-0.6703,,01/01/2016,12/31/2017,-0.3641,,No,
J PAUL JONES HOSPITAL,010102,AL,2019,0.0419,,10/01/2015,06/30/2017,0.0419,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,0.0419,,No,
PRINCETON BAPTIST MEDICAL CENTER,010103,AL,2019,1.615,,10/01/2015,06/30/2017,1.615,,0.3891,,0.8298,,0.3289,,-0.9792,,1.7814,,-0.0155,,01/01/2016,12/31/2017,0.573,,Yes,
GRANDVIEW MEDICAL CENTER,010104,AL,2019,-0.2172,,10/01/2015,06/30/2017,-0.2172,,-0.7801,,-0.8969,,-0.6288,,-1.4966,,-0.2217,,-0.6565,,01/01/2016,12/31/2017,-0.6957,,No,
PRATTVILLE BAPTIST HOSPITAL,010108,AL,2019,-0.3223,,10/01/2015,06/30/2017,-0.3223,,0.6656,,2.2018,,-0.9271,,0.8007,,Not Available,5 - Results are not available for this reporting period.,0.5868,,01/01/2016,12/31/2017,0.5174,,Yes,
YUMA REGIONAL MEDICAL CENTER,030013,AZ,2019,-0.4096,,10/01/2015,06/30/2017,-0.4096,,-0.3234,,-0.6033,,-0.1526,,-0.3516,,-0.0161,,-0.4935,,01/01/2016,12/31/2017,-0.3363,,No,
PICKENS COUNTY MEDICAL CENTER,010109,AL,2019,-0.0007,,10/01/2015,06/30/2017,-0.0007,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0007,,No,
BULLOCK COUNTY HOSPITAL,010110,AL,2019,-0.009,,10/01/2015,06/30/2017,-0.009,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.009,,No,
BRYAN W. WHITFIELD MEMORIAL HOSPITAL,010112,AL,2019,-0.1369,,10/01/2015,06/30/2017,-0.1369,,0.0232,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,0.0232,,01/01/2016,12/31/2017,-0.0008,,No,
MOBILE INFIRMARY MEDICAL CENTER,010113,AL,2019,1.2987,,10/01/2015,06/30/2017,1.2987,,0.101,,1.4262,,0.212,,-0.3205,,0.0425,,-0.8555,,01/01/2016,12/31/2017,0.2806,,No,
"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",010114,AL,2019,0.1245,,10/01/2015,06/30/2017,0.1245,,0.424,,1.4244,,-0.0741,,-0.0489,,2.196,,-1.3777,,01/01/2016,12/31/2017,0.379,,Yes,
VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,010118,AL,2019,-1.061,,10/01/2015,06/30/2017,-1.061,,-0.4588,,-0.5405,,-1.1521,,-1.4966,,1.5824,,-0.6869,,01/01/2016,12/31/2017,-0.5491,,No,
MONROE COUNTY HOSPITAL,010120,AL,2019,-0.0995,,10/01/2015,06/30/2017,-0.0995,,-1.2506,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.2506,,01/01/2016,12/31/2017,-1.0779,,No,
LAKELAND COMMUNITY HOSPITAL,010125,AL,2019,-0.121,,10/01/2015,06/30/2017,-0.121,,-1.7009,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.7009,,01/01/2016,12/31/2017,-1.4639,,No,
TROY REGIONAL MEDICAL CENTER,010126,AL,2019,0.2134,,10/01/2015,06/30/2017,0.2134,,-1.428,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,-1.2671,,01/01/2016,12/31/2017,-1.1818,,No,
JACKSON MEDICAL CENTER,010128,AL,2019,-0.0395,,10/01/2015,06/30/2017,-0.0395,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,01/01/2016,12/31/2017,-0.0395,,No,
NORTH BALDWIN INFIRMARY,010129,AL,2019,-0.4118,,10/01/2015,06/30/2017,-0.4118,,-0.6644,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,1.2833,,Not Available,5 - Results are not available for this reporting period.,-1.7562,,01/01/2016,12/31/2017,-0.6265,,No,
ST VINCENT'S ST CLAIR,010130,AL,2019,-0.4519,,10/01/2015,06/30/2017,-0.4519,,-0.5077,,-1.4878,,-0.3514,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,1.3052,,01/01/2016,12/31/2017,-0.4993,,No,
CRESTWOOD MEDICAL CENTER,010131,AL,2019,0.4191,,10/01/2015,06/30/2017,0.4191,,0.4897,,0.8021,,0.9656,,1.0447,,0.116,,-0.4797,,01/01/2016,12/31/2017,0.4791,,Yes,
HILL HOSPITAL OF SUMTER COUNTY,010138,AL,2019,0.0001,,10/01/2015,06/30/2017,0.0001,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.636,,No,
BROOKWOOD BAPTIST MEDICAL CENTER,010139,AL,2019,-0.4216,,10/01/2015,06/30/2017,-0.4216,,0.0875,,1.5019,,0.2138,,-0.5883,,0.1378,,-0.8278,,01/01/2016,12/31/2017,0.0111,,No,
SPRINGHILL MEMORIAL HOSPITAL,010144,AL,2019,2.347,,10/01/2015,06/30/2017,2.347,,-0.2191,,-0.1804,,0.0463,,-0.1241,,-0.2886,,-0.5488,,01/01/2016,12/31/2017,0.1658,,No,
RMC JACKSONVILLE,010146,AL,2019,-0.0766,,10/01/2015,06/30/2017,-0.0766,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.6475,,No,
EVERGREEN MEDICAL CENTER,010148,AL,2019,-0.1431,,10/01/2015,06/30/2017,-0.1431,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.6575,,No,
L V STABLER MEMORIAL HOSPITAL,010150,AL,2019,1.5891,,10/01/2015,06/30/2017,1.5891,,-1.6346,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.6346,,01/01/2016,12/31/2017,-1.1511,,No,
SHOALS HOSPITAL,010157,AL,2019,-0.2783,,10/01/2015,06/30/2017,-0.2783,,0.4435,,-1.4878,,1.6355,,2.1365,,Not Available,5 - Results are not available for this reporting period.,-0.5101,,01/01/2016,12/31/2017,0.3352,,No,
RUSSELLVILLE HOSPITAL,010158,AL,2019,-0.6442,,10/01/2015,06/30/2017,-0.6442,,-1.7225,,Not Available,5 - Results are not available for this reporting period.,-1.5202,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.5607,,No,
COOSA VALLEY MEDICAL CENTER,010164,AL,2019,0.1267,,10/01/2015,06/30/2017,0.1267,,-1.0865,,-1.4878,,-1.5202,,-1.4966,,Not Available,5 - Results are not available for this reporting period.,0.1586,,01/01/2016,12/31/2017,-0.9045,,No,
JACK HUGHSTON MEMORIAL HOSPITAL,010168,AL,2019,-1.274,,10/01/2015,06/30/2017,-1.274,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.8271,,No,
ATMORE COMMUNITY HOSPITAL,010169,AL,2019,-0.1886,,10/01/2015,06/30/2017,-0.1886,,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.6643,,No,
ST VINCENT'S CHILTON,010173,AL,2019,Not Available,5 - Results are not available for this reporting period.,10/01/2015,06/30/2017,Not Available,5 - Results are not available for this reporting period.,-1.9247,,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,Not Available,5 - Results are not available for this reporting period.,-1.9247,,01/01/2016,12/31/2017,-1.9247,,No,
PROVIDENCE ALASKA MEDICAL CENTER,020001,AK,2019,-0.5489,,10/01/2015,06/30/2017,-0.5489,,0.1709,,-0.2413,,1.7506,,-0.3535,,-0.5595,,0.258,,01/01/2016,12/31/2017,0.0629,,No,
MAT-SU REGIONAL MEDICAL CENTER,020006,AK,2019,0.1701,,10/01/2015,06/30/2017,0.1701,,-0.9391,,-0.9911,,-0.2084,,-0.9957,,-1.4406,,-1.0599,,01/01/2016,12/31/2017,-0.7728,,No,
