Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,Unweighted Normalized Clinical Care Domain Score,Weighted Normalized Clinical Care Domain Score,Unweighted Person and Community Engagement Domain Score,Weighted Person and Community Engagement Domain Score,Unweighted Normalized Safety Domain Score,Weighted Safety Domain Score,Unweighted Normalized Efficiency and Cost Reduction Domain Score,Weighted Efficiency and Cost Reduction Domain Score,Total Performance Score,Location
050054,SAN GORGONIO MEMORIAL HOSPITAL,600 NORTH HIGHLAND SPRINGS AVENUE,BANNING,CA,92220,Riverside,65.000000000000,16.250000000000,29.000000000000,7.250000000000,35.000000000000,8.750000000000,0.000000000000,0.000000000000,32.25,"600 NORTH HIGHLAND SPRINGS AVENUE BANNING, CA 92220"
050103,WHITE MEMORIAL MEDICAL CENTER,1720 E CESAR AVENUE,LOS ANGELES,CA,90033,Los Angeles,92.500000000000,23.125000000000,24.000000000000,6.000000000000,56.666666666667,14.166666666667,0.000000000000,0.000000000000,43.291666666667,"1720 E CESAR AVENUE LOS ANGELES, CA 90033"
050145,COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,23625 W R HOLMAN HIGHWAY,MONTEREY,CA,93940,Monterey,57.500000000000,14.375000000000,43.000000000000,10.750000000000,26.666666666667,6.666666666667,30.000000000000,7.500000000000,39.291666666667,"23625 W R HOLMAN HIGHWAY MONTEREY, CA 93940"
050224,HOAG MEMORIAL HOSPITAL PRESBYTERIAN,ONE HOAG DRIVE,NEWPORT BEACH,CA,92663,Orange,63.333333333333,15.833333333333,33.000000000000,8.250000000000,23.333333333333,5.833333333333,20.000000000000,5.000000000000,34.916666666667,"ONE HOAG DRIVE NEWPORT BEACH, CA 92663"
050280,MERCY MEDICAL CENTER REDDING,"2175 ROSALINE AVE, CLAIRMONT HGTS",REDDING,CA,96001,Shasta,25.000000000000,6.250000000000,14.000000000000,3.500000000000,35.000000000000,8.750000000000,10.000000000000,2.500000000000,21,"2175 ROSALINE AVE, CLAIRMONT HGTS REDDING, CA 96001"
050309,SUTTER ROSEVILLE MEDICAL CENTER,ONE MEDICAL PLAZA,ROSEVILLE,CA,95661,Placer,47.500000000000,11.875000000000,30.000000000000,7.500000000000,15.000000000000,3.750000000000,40.000000000000,10.000000000000,33.125,"ONE MEDICAL PLAZA ROSEVILLE, CA 95661"
050488,EDEN MEDICAL CENTER,20103 LAKE CHABOT ROAD,CASTRO VALLEY,CA,94546,Alameda,40.000000000000,10.000000000000,27.000000000000,6.750000000000,38.333333333333,9.583333333333,0.000000000000,0.000000000000,26.333333333333,"20103 LAKE CHABOT ROAD CASTRO VALLEY, CA 94546"
050567,MISSION HOSPITAL REGIONAL MED CENTER,27700 MEDICAL CENTER RD,MISSION VIEJO,CA,92691,Orange,80.000000000000,20.000000000000,42.000000000000,10.500000000000,18.333333333333,4.583333333333,20.000000000000,5.000000000000,40.083333333333,"27700 MEDICAL CENTER RD MISSION VIEJO, CA 92691"
050684,MENIFEE VALLEY MEDICAL CENTER,28400 MCCALL B0ULEVARD,SUN CITY,CA,92585,Riverside,53.333333333333,13.333333333333,9.000000000000,2.250000000000,33.333333333333,8.333333333333,0.000000000000,0.000000000000,23.916666666667,"28400 MCCALL B0ULEVARD SUN CITY, CA 92585"
050717,LAC/RANCHO LOS AMIGOS NATIONAL REHABILITATION  CTR,7601 EAST IMPERIAL HIGHWAY,DOWNEY,CA,90242,Los Angeles,Not Available,Not Available,41.000000000000,13.666666666667,70.000000000000,23.333333333333,10.000000000000,3.333333333333,40.333333333333,"7601 EAST IMPERIAL HIGHWAY DOWNEY, CA 90242"
070006,STAMFORD HOSPITAL,ONE HOSPITAL PLAZA,STAMFORD,CT,06904,Fairfield,60.000000000000,15.000000000000,34.000000000000,8.500000000000,16.666666666667,4.166666666667,0.000000000000,0.000000000000,27.666666666667,"ONE HOSPITAL PLAZA STAMFORD, CT 06904"
070008,JOHNSON MEMORIAL HOSPITAL,201 CHESTNUT HILL ROAD,STAFFORD SPRINGS,CT,06076,Tolland,63.333333333333,15.833333333333,34.000000000000,8.500000000000,60.000000000000,15.000000000000,10.000000000000,2.500000000000,41.833333333333,"201 CHESTNUT HILL ROAD STAFFORD SPRINGS, CT 06076"
070016,SAINT MARY'S HOSPITAL,56 FRANKLIN STEET,WATERBURY,CT,06706,New Haven,72.500000000000,18.125000000000,24.000000000000,6.000000000000,65.000000000000,16.250000000000,0.000000000000,0.000000000000,40.375,"56 FRANKLIN STEET WATERBURY, CT 06706"
070029,BRISTOL HOSPITAL,BREWSTER RD,BRISTOL,CT,06010,Hartford,47.500000000000,11.875000000000,44.000000000000,11.000000000000,88.000000000000,22.000000000000,0.000000000000,0.000000000000,44.875,"BREWSTER RD BRISTOL, CT 06010"
080003,ST FRANCIS HOSPITAL,7TH AND CLAYTON STS,WILMINGTON,DE,19805,New Castle,52.500000000000,13.125000000000,18.000000000000,4.500000000000,52.000000000000,13.000000000000,30.000000000000,7.500000000000,38.125,"7TH AND CLAYTON STS WILMINGTON, DE 19805"
100054,TWIN CITIES HOSPITAL,2190 HWY 85 N,NICEVILLE,FL,32578,Okaloosa,52.500000000000,13.125000000000,48.000000000000,12.000000000000,50.000000000000,12.500000000000,30.000000000000,7.500000000000,45.125,"2190 HWY 85 N NICEVILLE, FL 32578"
100075,ST JOSEPHS HOSPITAL,3001 W MARTIN LUTHER KING JR BLVD,TAMPA,FL,33677,Hillsborough,60.000000000000,15.000000000000,53.000000000000,13.250000000000,18.333333333333,4.583333333333,0.000000000000,0.000000000000,32.833333333333,"3001 W MARTIN LUTHER KING JR BLVD TAMPA, FL 33677"
100137,HEART OF FLORIDA REGIONAL MEDICAL CENTER,40100 US HWY 27 N,DAVENPORT,FL,33837,Polk,62.500000000000,15.625000000000,35.000000000000,8.750000000000,53.333333333333,13.333333333333,0.000000000000,0.000000000000,37.708333333333,"40100 US HWY 27 N DAVENPORT, FL 33837"
100183,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,FL,33134,Miami-Dade,75.000000000000,18.750000000000,21.000000000000,5.250000000000,24.000000000000,6.000000000000,0.000000000000,0.000000000000,30,"3100 DOUGLAS RD CORAL GABLES, FL 33134"
100209,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,FL,33175,Miami-Dade,70.000000000000,17.500000000000,14.000000000000,3.500000000000,28.333333333333,7.083333333333,0.000000000000,0.000000000000,28.083333333333,"11750 BIRD RD MIAMI, FL 33175"
110030,CARTERSVILLE MEDICAL CENTER,960 JOE FRANK HARRIS PARKWAY,CARTERSVILLE,GA,30120,Bartow,82.500000000000,20.625000000000,24.000000000000,6.000000000000,68.333333333333,17.083333333333,40.000000000000,10.000000000000,53.708333333333,"960 JOE FRANK HARRIS PARKWAY CARTERSVILLE, GA 30120"
110038,JOHN D ARCHBOLD MEMORIAL HOSPITAL,915 GORDON AVENUE & MIMOSA DRIVE,THOMASVILLE,GA,31792,Thomas,50.000000000000,12.500000000000,32.000000000000,8.000000000000,1.666666666667,0.416666666667,0.000000000000,0.000000000000,20.916666666667,"915 GORDON AVENUE &amp; MIMOSA DRIVE THOMASVILLE, GA 31792"
110128,MEADOWS REGIONAL MEDICAL CENTER,ONE MEADOWS PARKWAY,VIDALIA,GA,30474,Toombs,42.500000000000,10.625000000000,38.000000000000,9.500000000000,47.500000000000,11.875000000000,20.000000000000,5.000000000000,37,"ONE MEADOWS PARKWAY VIDALIA, GA 30474"
120028,NORTH HAWAII COMMUNITY HOSPITAL,67 1125 MAMALAHOA HIGHWAY,KAMUELA,HI,96743,Hawaii,33.333333333333,8.333333333333,24.000000000000,6.000000000000,0.000000000000,0.000000000000,50.000000000000,12.500000000000,26.833333333333,"67 1125 MAMALAHOA HIGHWAY KAMUELA, HI 96743"
140002,ALTON MEMORIAL HOSPITAL,ONE MEMORIAL DRIVE,ALTON,IL,62002,Madison,37.500000000000,9.375000000000,41.000000000000,10.250000000000,68.333333333333,17.083333333333,40.000000000000,10.000000000000,46.708333333333,"ONE MEMORIAL DRIVE ALTON, IL 62002"
140015,BLESSING HOSPITAL,BROADWAY ST & N 11TH ST,QUINCY,IL,62305,Adams,60.000000000000,15.000000000000,36.000000000000,9.000000000000,55.000000000000,13.750000000000,20.000000000000,5.000000000000,42.75,"BROADWAY ST &amp; N 11TH ST QUINCY, IL 62305"
140018,MT SINAI HOSPITAL MEDICAL CENTER,15TH STREET AT CALIFORNIA,CHICAGO,IL,60608,Cook,46.666666666667,11.666666666667,7.000000000000,1.750000000000,45.000000000000,11.250000000000,20.000000000000,5.000000000000,29.666666666667,"15TH STREET AT CALIFORNIA CHICAGO, IL 60608"
140052,OSF SAINT ANTHONY'S HEALTH CENTER,ST ANTHONY'S WAY,ALTON,IL,62002,Madison,42.500000000000,10.625000000000,30.000000000000,7.500000000000,57.500000000000,14.375000000000,40.000000000000,10.000000000000,42.5,"ST ANTHONY'S WAY ALTON, IL 62002"
140118,METROSOUTH MEDICAL CENTER,12935 S GREGORY,BLUE ISLAND,IL,60406,Cook,70.000000000000,17.500000000000,17.000000000000,4.250000000000,50.000000000000,12.500000000000,0.000000000000,0.000000000000,34.25,"12935 S GREGORY BLUE ISLAND, IL 60406"
140172,FRANCISCAN HEALTH OLYMPIA & CHICAGO HEIGHTS,20201 S CRAWFORD AVENUE,OLYMPIA FIELDS,IL,60461,Cook,55.000000000000,13.750000000000,13.000000000000,3.250000000000,30.000000000000,7.500000000000,0.000000000000,0.000000000000,24.5,"20201 S CRAWFORD AVENUE OLYMPIA FIELDS, IL 60461"
140187,HSHS ST ELIZABETH'S HOSPITAL,ONE ST ELIZABETH BOULEVARD,O FALLON,IL,62269,Saint Clair,72.500000000000,18.125000000000,28.000000000000,7.000000000000,66.666666666667,16.666666666667,10.000000000000,2.500000000000,44.291666666667,"ONE ST ELIZABETH BOULEVARD O FALLON, IL 62269"
140210,HARRISBURG MEDICAL CENTER,100 DOCTOR WARREN TUTTLE DR,HARRISBURG,IL,62946,Saline,0.000000000000,0.000000000000,43.000000000000,14.333333333333,Not Available,Not Available,40.000000000000,13.333333333333,27.666666666667,"100 DOCTOR WARREN TUTTLE DR HARRISBURG, IL 62946"
150069,KING'S DAUGHTERS' HEALTH,1373 EAST SR 62,MADISON,IN,47250,Jefferson,56.666666666667,14.166666666667,72.000000000000,18.000000000000,33.333333333333,8.333333333333,0.000000000000,0.000000000000,40.5,"1373 EAST SR 62 MADISON, IN 47250"
160089,OTTUMWA REGIONAL HEALTH CENTER,1001 E PENNSYLVANIA,OTTUMWA,IA,52501,Wapello,57.500000000000,14.375000000000,16.000000000000,4.000000000000,60.000000000000,15.000000000000,10.000000000000,2.500000000000,35.875,"1001 E PENNSYLVANIA OTTUMWA, IA 52501"
180010,SAINT JOSEPH HOSPITAL,ONE SAINT JOSEPH DRIVE,LEXINGTON,KY,40504,Fayette,40.000000000000,10.000000000000,17.000000000000,4.250000000000,48.000000000000,12.000000000000,0.000000000000,0.000000000000,26.25,"ONE SAINT JOSEPH DRIVE LEXINGTON, KY 40504"
180080,BAPTIST HEALTH CORBIN,ONE TRILLIUM WAY,CORBIN,KY,40701,Whitley,27.500000000000,6.875000000000,45.000000000000,11.250000000000,26.666666666667,6.666666666667,0.000000000000,0.000000000000,24.791666666667,"ONE TRILLIUM WAY CORBIN, KY 40701"
190116,MOREHOUSE GENERAL HOSPITAL,323 W WALNUT,BASTROP,LA,71220,Morehouse,30.000000000000,7.500000000000,29.000000000000,7.250000000000,65.000000000000,16.250000000000,0.000000000000,0.000000000000,31,"323 W WALNUT BASTROP, LA 71220"
190144,MINDEN MEDICAL CENTER,NO 1 MEDICAL PLAZA,MINDEN,LA,71055,Webster,27.500000000000,6.875000000000,78.000000000000,19.500000000000,83.333333333333,20.833333333333,0.000000000000,0.000000000000,47.208333333333,"NO 1 MEDICAL PLAZA MINDEN, LA 71055"
200018,AROOSTOOK MEDICAL CENTER,PO BOX 151,PRESQUE ISLE,ME,04769,Aroostook,57.500000000000,14.375000000000,54.000000000000,13.500000000000,50.000000000000,12.500000000000,30.000000000000,7.500000000000,47.875,"PO BOX 151 PRESQUE ISLE, ME 04769"
200033,EASTERN MAINE MEDICAL CENTER,PO BOX 404,BANGOR,ME,04401,Penobscot,60.000000000000,15.000000000000,14.000000000000,3.500000000000,31.666666666667,7.916666666667,0.000000000000,0.000000000000,26.416666666667,"PO BOX 404 BANGOR, ME 04401"
220010,LAWRENCE GENERAL HOSPITAL,ONE GENERAL STREET,LAWRENCE,MA,01842,Essex,72.500000000000,18.125000000000,15.000000000000,3.750000000000,35.000000000000,8.750000000000,10.000000000000,2.500000000000,33.125,"ONE GENERAL STREET LAWRENCE, MA 01842"
220171,"LAHEY HOSPITAL & MEDICAL CENTER, BURLINGTON",41 & 45 MALL ROAD,BURLINGTON,MA,01803,Middlesex,80.000000000000,20.000000000000,36.000000000000,9.000000000000,24.000000000000,6.000000000000,0.000000000000,0.000000000000,35,"41 &amp; 45 MALL ROAD BURLINGTON, MA 01803"
230110,SPECTRUM HEALTH LUDINGTON HOSPITAL,ONE N ATKINSON DRIVE,LUDINGTON,MI,49431,Mason,50.000000000000,12.500000000000,50.000000000000,12.500000000000,35.000000000000,8.750000000000,40.000000000000,10.000000000000,43.75,"ONE N ATKINSON DRIVE LUDINGTON, MI 49431"
230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,Genesee,55.000000000000,13.750000000000,14.000000000000,3.500000000000,40.000000000000,10.000000000000,10.000000000000,2.500000000000,29.75,"ONE HURLEY PLAZA FLINT, MI 48503"
230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,Genesee,67.500000000000,16.875000000000,23.000000000000,5.750000000000,26.666666666667,6.666666666667,10.000000000000,2.500000000000,31.791666666667,"ONE GENESYS PARKWAY GRAND BLANC, MI 48439"
230269,"BEAUMONT HOSPITAL, TROY",44201 DEQUINDRE ROAD,TROY,MI,48085,Oakland,100.000000000000,25.000000000000,28.000000000000,7.000000000000,23.333333333333,5.833333333333,10.000000000000,2.500000000000,40.333333333333,"44201 DEQUINDRE ROAD TROY, MI 48085"
230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,Wayne,50.000000000000,12.500000000000,17.000000000000,4.250000000000,30.000000000000,7.500000000000,0.000000000000,0.000000000000,24.25,"4201 ST ANTOINE ST - 3M DETROIT, MI 48201"
230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSHIP,MI,48382,Oakland,67.500000000000,16.875000000000,30.000000000000,7.500000000000,40.000000000000,10.000000000000,10.000000000000,2.500000000000,36.875,"ONE WILLIAM CARLS DRIVE COMMERCE TOWNSHIP, MI 48382"
250006,BAPTIST MEMORIAL HOSPITAL UNION COUNTY,200 HWY 30 WEST,NEW ALBANY,MS,38652,Union,25.000000000000,6.250000000000,79.000000000000,19.750000000000,50.000000000000,12.500000000000,40.000000000000,10.000000000000,48.5,"200 HWY 30 WEST NEW ALBANY, MS 38652"
250057,KING'S DAUGHTERS MEDICAL CENTER-BROOKHAVEN,P O BOX 948/427 HIGHWAY 51 NORTH,BROOKHAVEN,MS,39601,Lincoln,0.000000000000,0.000000000000,81.000000000000,20.250000000000,92.500000000000,23.125000000000,10.000000000000,2.500000000000,45.875,"P O BOX 948/427 HIGHWAY 51 NORTH BROOKHAVEN, MS 39601"
250078,FORREST GENERAL HOSPITAL,6051 US HIGHWAY 49,HATTIESBURG,MS,39404,Forrest,27.500000000000,6.875000000000,24.000000000000,6.000000000000,40.000000000000,10.000000000000,0.000000000000,0.000000000000,22.875,"6051 US HIGHWAY 49 HATTIESBURG, MS 39404"
250084,MERIT HEALTH NATCHEZ,52 SERGEANT PRENTISS DRIVE,NATCHEZ,MS,39120,Adams,36.666666666667,9.166666666667,39.000000000000,9.750000000000,86.666666666667,21.666666666667,0.000000000000,0.000000000000,40.583333333333,"52 SERGEANT PRENTISS DRIVE NATCHEZ, MS 39120"
250097,SOUTHWEST MS REGIONAL MEDICAL CENTER,215 MARION AV BOX 1307,MCCOMB,MS,39649,Pike,52.500000000000,13.125000000000,17.000000000000,4.250000000000,85.000000000000,21.250000000000,10.000000000000,2.500000000000,41.125,"215 MARION AV BOX 1307 MCCOMB, MS 39649"
260020,MERCY HOSPITAL ST LOUIS,615 NEW BALLAS ROAD,SAINT LOUIS,MO,63141,Saint Louis,87.500000000000,21.875000000000,34.000000000000,8.500000000000,55.000000000000,13.750000000000,10.000000000000,2.500000000000,46.625,"615 NEW BALLAS ROAD SAINT LOUIS, MO 63141"
260032,BARNES JEWISH HOSPITAL,ONE BARNES-JEWISH HOSPITAL PLAZA,SAINT LOUIS,MO,63110,Saint Louis City,75.000000000000,18.750000000000,44.000000000000,11.000000000000,40.000000000000,10.000000000000,0.000000000000,0.000000000000,39.75,"ONE BARNES-JEWISH HOSPITAL PLAZA SAINT LOUIS, MO 63110"
260141,UNIVERSITY OF MISSOURI HEALTH CARE,ONE HOSPITAL DRIVE,COLUMBIA,MO,65212,Boone,52.500000000000,13.125000000000,39.000000000000,9.750000000000,31.666666666667,7.916666666667,0.000000000000,0.000000000000,30.791666666667,"ONE HOSPITAL DRIVE COLUMBIA, MO 65212"
260142,FITZGIBBON HOSPITAL,2305 S 65 HIGHWAY,MARSHALL,MO,65340,Saline,56.666666666667,14.166666666667,46.000000000000,11.500000000000,50.000000000000,12.500000000000,100.000000000000,25.000000000000,63.166666666667,"2305 S 65 HIGHWAY MARSHALL, MO 65340"
260183,SAINT FRANCIS MEDICAL CENTER,211 ST FRANCIS DR,CAPE GIRARDEAU,MO,63703,Cape Girardeau,52.500000000000,13.125000000000,42.000000000000,10.500000000000,61.666666666667,15.416666666667,0.000000000000,0.000000000000,39.041666666667,"211 ST FRANCIS DR CAPE GIRARDEAU, MO 63703"
260214,BELTON REGIONAL MEDICAL CENTER,17065 S 71 HIGHWAY,BELTON,MO,64012,Cass,40.000000000000,13.333333333333,20.000000000000,6.666666666667,Not Available,Not Available,40.000000000000,13.333333333333,33.333333333333,"17065 S 71 HIGHWAY BELTON, MO 64012"
270003,ST PETERS HOSPITAL,2475 BROADWAY,HELENA,MT,59601,Lewis and Clark,75.000000000000,18.750000000000,44.000000000000,11.000000000000,86.000000000000,21.500000000000,80.000000000000,20.000000000000,71.25,"2475 BROADWAY HELENA, MT 59601"
280009,CHI HEALTH GOOD SAMARITAN,"P O BOX 1990, 10 EAST 31ST ST",KEARNEY,NE,68848,Buffalo,75.000000000000,18.750000000000,24.000000000000,6.000000000000,31.666666666667,7.916666666667,0.000000000000,0.000000000000,32.666666666667,"P O BOX 1990, 10 EAST 31ST ST KEARNEY, NE 68848"
280013,THE NEBRASKA MEDICAL CENTER,987400 NEBRASKA MEDICAL CENTER,OMAHA,NE,68198,Douglas,77.500000000000,19.375000000000,33.000000000000,8.250000000000,36.666666666667,9.166666666667,0.000000000000,0.000000000000,36.791666666667,"987400 NEBRASKA MEDICAL CENTER OMAHA, NE 68198"
290045,ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,3001 ST ROSE PARKWAY,HENDERSON,NV,89052,Clark,20.000000000000,5.000000000000,23.000000000000,5.750000000000,46.666666666667,11.666666666667,10.000000000000,2.500000000000,24.916666666667,"3001 ST ROSE PARKWAY HENDERSON, NV 89052"
290057,HENDERSON HOSPITAL,1050 WEST GALLERIA DRIVE,HENDERSON,NV,89011,Clark,Not Available,Not Available,29.000000000000,9.666666666667,63.333333333333,21.111111111111,0.000000000000,0.000000000000,30.777777777778,"1050 WEST GALLERIA DRIVE HENDERSON, NV 89011"
310009,CLARA MAASS MEDICAL CENTER,ONE CLARA MAASS DRIVE,BELLEVILLE,NJ,07109,Essex,70.000000000000,17.500000000000,25.000000000000,6.250000000000,61.666666666667,15.416666666667,0.000000000000,0.000000000000,39.166666666667,"ONE CLARA MAASS DRIVE BELLEVILLE, NJ 07109"
310010,PENN MEDICINE PRINCETON MEDICAL CENTER,ONE PLAINSBORO ROAD,PLAINSBORO,NJ,08536,Middlesex,72.500000000000,18.125000000000,50.000000000000,12.500000000000,71.666666666667,17.916666666667,20.000000000000,5.000000000000,53.541666666667,"ONE PLAINSBORO ROAD PLAINSBORO, NJ 08536"
310011,CAPE REGIONAL MEDICAL CENTER INC,TWO STONE HARBOR BLVD,CAPE MAY COURT HOUSE,NJ,08210,Cape May,45.000000000000,11.250000000000,38.000000000000,9.500000000000,34.000000000000,8.500000000000,0.000000000000,0.000000000000,29.25,"TWO STONE HARBOR BLVD CAPE MAY COURT HOUSE, NJ 08210"
310034,RIVERVIEW MEDICAL CENTER,ONE RIVERVIEW PLAZA,RED BANK,NJ,07701,Monmouth,57.500000000000,14.375000000000,18.000000000000,4.500000000000,35.000000000000,8.750000000000,0.000000000000,0.000000000000,27.625,"ONE RIVERVIEW PLAZA RED BANK, NJ 07701"
310038,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL,ONE ROBERT WOOD JOHNSON PLACE,NEW BRUNSWICK,NJ,08901,Middlesex,57.500000000000,14.375000000000,20.000000000000,5.000000000000,33.333333333333,8.333333333333,0.000000000000,0.000000000000,27.708333333333,"ONE ROBERT WOOD JOHNSON PLACE NEW BRUNSWICK, NJ 08901"
310044,CAPITAL HEALTH MEDICAL CENTER - HOPEWELL,ONE CAPITAL WAY,PENNINGTON,NJ,08534,Mercer,72.500000000000,18.125000000000,35.000000000000,8.750000000000,48.333333333333,12.083333333333,0.000000000000,0.000000000000,38.958333333333,"ONE CAPITAL WAY PENNINGTON, NJ 08534"
310054,HACKENSACK-UMC MOUNTAINSIDE,BAY AND HIGHLAND AVE,MONTCLAIR,NJ,07042,Essex,62.500000000000,15.625000000000,17.000000000000,4.250000000000,25.000000000000,6.250000000000,10.000000000000,2.500000000000,28.625,"BAY AND HIGHLAND AVE MONTCLAIR, NJ 07042"
310073,JERSEY SHORE UNIVERSITY MEDICAL CENTER,1945 RTE 33,NEPTUNE,NJ,07754,Monmouth,65.000000000000,16.250000000000,16.000000000000,4.000000000000,55.000000000000,13.750000000000,0.000000000000,0.000000000000,34,"1945 RTE 33 NEPTUNE, NJ 07754"
310110,ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,ONE HAMILTON HEALTH PLACE,HAMILTON,NJ,08690,Mercer,75.000000000000,18.750000000000,31.000000000000,7.750000000000,68.000000000000,17.000000000000,0.000000000000,0.000000000000,43.5,"ONE HAMILTON HEALTH PLACE HAMILTON, NJ 08690"
320059,NORTHERN NAVAJO MEDICAL CENTER,US HWY 491 NORTH,SHIPROCK,NM,87420,San Juan,30.000000000000,7.500000000000,29.000000000000,7.250000000000,80.000000000000,20.000000000000,40.000000000000,10.000000000000,44.75,"US HWY 491 NORTH SHIPROCK, NM 87420"
330024,MOUNT SINAI HOSPITAL,ONE GUSTAVE L LEVY PLACE,NEW YORK,NY,10029,New York,75.000000000000,18.750000000000,15.000000000000,3.750000000000,20.000000000000,5.000000000000,10.000000000000,2.500000000000,30,"ONE GUSTAVE L LEVY PLACE NEW YORK, NY 10029"
330044,FAXTON-ST LUKE'S HEALTHCARE,1656 CHAMPLIN AVENUE,UTICA,NY,13503,Oneida,5.000000000000,1.250000000000,36.000000000000,9.000000000000,38.333333333333,9.583333333333,0.000000000000,0.000000000000,19.833333333333,"1656 CHAMPLIN AVENUE UTICA, NY 13503"
330049,NORTHERN DUTCHESS HOSPITAL,6511 SPRINGBROOK AVENUE,RHINEBECK,NY,12572,Dutchess,67.500000000000,16.875000000000,59.000000000000,14.750000000000,33.333333333333,8.333333333333,20.000000000000,5.000000000000,44.958333333333,"6511 SPRINGBROOK AVENUE RHINEBECK, NY 12572"
330055,NEW YORK-PRESBYTERIAN/QUEENS,56-45 MAIN STREET,FLUSHING,NY,11355,Queens,75.000000000000,18.750000000000,21.000000000000,5.250000000000,60.000000000000,15.000000000000,0.000000000000,0.000000000000,39,"56-45 MAIN STREET FLUSHING, NY 11355"
330058,GENEVA GENERAL HOSPITAL,196 -198 NORTH STREET,GENEVA,NY,14456,Ontario,70.000000000000,17.500000000000,22.000000000000,5.500000000000,72.500000000000,18.125000000000,60.000000000000,15.000000000000,56.125,"196 -198 NORTH STREET GENEVA, NY 14456"
