,City,Daylight savings time flag,Latitude,Longitude,State,Timezone,Zip,geopoint
55,Madill,1.0,34.092658,-96.74851,OK,-6.0,73446,"34.092658,-96.74851"
56,Tulsa,1.0,36.099044,-95.96615,OK,-6.0,74105,"36.099044,-95.96615"
57,Ivanhoe,1.0,33.774196999999994,-96.12045,TX,-6.0,75447,"33.774197,-96.12045"
58,Winnie,1.0,29.820542,-94.39965,TX,-6.0,77665,"29.820542,-94.39965"
59,Castroville,1.0,29.356455,-98.88062,TX,-6.0,78009,"29.356455,-98.88062"
60,La Coste,1.0,29.312661,-98.81591,TX,-6.0,78039,"29.312661,-98.81591"
61,Alma,1.0,44.362741,-91.85287,WI,-6.0,54610,"44.362741,-91.85287"
62,Henderson,1.0,44.555899,-93.95354,MN,-6.0,56044,"44.555899,-93.95354"
63,Frankewing,1.0,35.188143,-86.81014,TN,-6.0,38459,"35.188143,-86.81014"
64,Hockingport,1.0,39.197888,-81.744573,OH,-5.0,45739,"39.197888,-81.744573"
65,Brazil,0.0,39.52503,-87.12738,IN,-5.0,47834,"39.52503,-87.12738"
66,Kankakee,1.0,41.114132,-87.86784,IL,-6.0,60901,"41.114132,-87.86784"
67,Lynn Center,1.0,41.28595,-90.36117,IL,-6.0,61262,"41.28595,-90.36117"
68,Witten,1.0,43.528884999999995,-100.09039,SD,-6.0,57584,"43.528885,-100.09039"
69,Otley,1.0,41.456325,-93.0738,IA,-6.0,50214,"41.456325,-93.0738"
70,Cecilia,1.0,37.668721000000005,-86.02526999999999,KY,-5.0,42724,"37.668721,-86.02527"
71,Sebewaing,1.0,43.737971,-83.43007,MI,-5.0,48759,"43.737971,-83.43007"
72,Cleveland,1.0,41.562781,-81.57273,OH,-5.0,44110,"41.562781,-81.57273"
73,Crystal Falls,1.0,46.12624,-88.35677,MI,-6.0,49920,"46.12624,-88.35677"
74,Columbia,1.0,41.185045,-93.1683,IA,-6.0,50057,"41.185045,-93.1683"
75,Naples,1.0,26.275676,-81.59586,FL,-5.0,34120,"26.275676,-81.59586"
76,Sallis,1.0,33.002813,-89.75296,MS,-6.0,39160,"33.002813,-89.75296"
77,Greensburg,1.0,40.360223,-79.439801,PA,-5.0,15606,"40.360223,-79.439801"
78,Rabun Gap,1.0,34.952452,-83.4073,GA,-5.0,30568,"34.952452,-83.4073"
79,Alachua,1.0,29.801949,-82.48872,FL,-5.0,32615,"29.801949,-82.48872"
80,Leon,1.0,38.743247,-81.90281,WV,-5.0,25123,"38.743247,-81.90281"
81,Piscataway,1.0,40.555355,-74.46094000000001,NJ,-5.0,8854,"40.555355,-74.46094"
82,New York,1.0,40.751378,-73.978507,NY,-5.0,10178,"40.751378,-73.978507"
83,Spartanburg,1.0,35.033903,-81.97413,SC,-5.0,29316,"35.033903,-81.97413"
84,East Greenbush,1.0,42.593047,-73.67343000000001,NY,-5.0,12061,"42.593047,-73.67343"
85,Perkasie,1.0,40.379028999999996,-75.25926,PA,-5.0,18944,"40.379029,-75.25926"
86,Tyner,1.0,36.256547999999995,-76.62626999999999,NC,-5.0,27980,"36.256548,-76.62627"
87,Dimondale,1.0,42.645984999999996,-84.64771999999999,MI,-5.0,48821,"42.645985,-84.64772"
88,Smyrna,1.0,35.968513,-86.52231,TN,-6.0,37167,"35.968513,-86.52231"
89,Morrison,1.0,35.596484000000004,-85.92275,TN,-6.0,37357,"35.596484,-85.92275"
90,Stanleytown,1.0,36.734651,-79.94572,VA,-5.0,24168,"36.734651,-79.94572"
91,Welch,1.0,37.424498,-81.57835,WV,-5.0,24801,"37.424498,-81.57835"
92,Pennsboro,1.0,39.288336,-80.968967,WV,-5.0,26145,"39.288336,-80.968967"
93,Isonville,1.0,38.061324,-83.05005,KY,-5.0,41149,"38.061324,-83.05005"
94,Glasgow,1.0,36.946326,-85.957797,KY,-6.0,42142,"36.946326,-85.957797"
95,Woburn,1.0,42.446396,-71.459405,MA,-5.0,1888,"42.446396,-71.459405"
96,Newton Center,1.0,42.321197,-71.193,MA,-5.0,2459,"42.321197,-71.193"
97,Anderson,0.0,40.161733,-85.719659,IN,-5.0,46018,"40.161733,-85.719659"
98,Roachdale,0.0,39.842523,-86.83174,IN,-5.0,46172,"39.842523,-86.83174"
99,Chesterton,1.0,41.616263,-87.05883,IN,-6.0,46304,"41.616263,-87.05883"
100,Jacksonville,1.0,30.411564000000002,-81.76653,FL,-5.0,32219,"30.411564,-81.76653"
101,Ruskin,1.0,27.703801000000002,-82.44385,FL,-5.0,33570,"27.703801,-82.44385"
102,Saint Petersburg,1.0,27.881909000000004,-82.66435899999999,FL,-5.0,33729,"27.881909,-82.664359"
103,Hampden,1.0,44.735745,-68.92518000000001,ME,-5.0,4444,"44.735745,-68.92518"
104,Liberty,1.0,44.371109000000004,-69.32744,ME,-5.0,4949,"44.371109,-69.32744"
105,Ardara,1.0,40.358962,-79.73879000000001,PA,-5.0,15615,"40.358962,-79.73879"
106,Adamsville,1.0,41.508646999999996,-80.37501,PA,-5.0,16110,"41.508647,-80.37501"
107,Lackey,1.0,37.223152,-76.55901,VA,-5.0,23694,"37.223152,-76.55901"
108,Radford,1.0,37.138427,-80.55031,VA,-5.0,24142,"37.138427,-80.55031"
109,Windsor Heights,1.0,40.190886,-80.66613000000001,WV,-5.0,26075,"40.190886,-80.66613"
110,Stone Harbor,1.0,39.051289000000004,-74.76204,NJ,-5.0,8247,"39.051289,-74.76204"
111,Washington,1.0,38.893311,-77.014647,DC,-5.0,20507,"38.893311,-77.014647"
112,College Park,1.0,38.99756,-76.92577,MD,-5.0,20740,"38.99756,-76.92577"
113,Woodlyn,1.0,39.874612,-75.34541999999999,PA,-5.0,19094,"39.874612,-75.34542"
114,Long Creek,1.0,34.774914,-83.27235999999999,SC,-5.0,29658,"34.774914,-83.27236"
115,Porterdale,1.0,33.576043,-83.89820999999999,GA,-5.0,30070,"33.576043,-83.89821"
116,Charlotte,1.0,35.13451,-80.85632,NC,-5.0,28210,"35.13451,-80.85632"
117,Fayetteville,1.0,35.02844,-78.97036999999999,NC,-5.0,28304,"35.02844,-78.97037"
118,Grand Chain,1.0,37.239385,-88.95184,IL,-6.0,62941,"37.239385,-88.95184"
119,Carl Junction,1.0,37.174256,-94.55543,MO,-6.0,64834,"37.174256,-94.55543"
120,Rufe,1.0,34.127277,-95.11846,OK,-6.0,74755,"34.127277,-95.11846"
121,Houston,1.0,29.858525,-95.38178,TX,-6.0,77076,"29.858525,-95.38178"
122,Leon,1.0,37.686034,-96.7069,KS,-6.0,67074,"37.686034,-96.7069"
123,Garland,1.0,40.95178,-96.96786999999999,NE,-6.0,68360,"40.95178,-96.96787"
124,Saint George,1.0,37.309231,-113.47618200000001,UT,-7.0,84771,"37.309231,-113.476182"
125,Hotevilla,0.0,36.115339,-110.61561999999999,AZ,-7.0,86030,"36.115339,-110.61562"
126,Lindrith,1.0,36.343007,-107.09858,NM,-7.0,87029,"36.343007,-107.09858"
127,El Paso,1.0,31.694841999999998,-106.29998700000002,TX,-7.0,88550,"31.694842,-106.299987"
128,Indian Springs,1.0,35.927901,-114.97206100000001,NV,-8.0,89070,"35.927901,-114.972061"
129,Los Angeles,1.0,34.023039000000004,-118.20231000000001,CA,-8.0,90023,"34.023039,-118.20231"
130,Austin,1.0,30.216108000000002,-97.85828000000001,TX,-6.0,78749,"30.216108,-97.85828"
131,Santa Ana,1.0,33.765916,-117.88139,CA,-8.0,92706,"33.765916,-117.88139"
132,Walton,1.0,44.004968,-123.63206000000001,OR,-8.0,97490,"44.004968,-123.63206"
133,Rickreall,1.0,44.964115,-123.20681,OR,-8.0,97371,"44.964115,-123.20681"
134,Clovis,1.0,37.036528999999994,-119.51170400000001,CA,-8.0,93613,"37.036529,-119.511704"
135,Raisin,1.0,36.600348,-119.90272,CA,-8.0,93652,"36.600348,-119.90272"
136,Lakota,1.0,48.021136,-98.33502,ND,-6.0,58344,"48.021136,-98.33502"
137,Starkweather,1.0,48.478826,-98.87311,ND,-6.0,58377,"48.478826,-98.87311"
138,Peoria,1.0,40.744178999999995,-89.718401,IL,-6.0,61628,"40.744179,-89.718401"
139,Deer Creek,1.0,40.615875,-89.32778,IL,-6.0,61733,"40.615875,-89.32778"
140,Secor,1.0,40.738973,-89.13579,IL,-6.0,61771,"40.738973,-89.13579"
141,Callaway,1.0,41.288656,-99.95439,NE,-6.0,68825,"41.288656,-99.95439"
142,Ponchatoula,1.0,30.432585999999997,-90.452775,LA,-6.0,70494,"30.432586,-90.452775"
143,Heflin,1.0,32.429157000000004,-93.29549,LA,-6.0,71039,"32.429157,-93.29549"
144,Lacamp,1.0,31.120174,-93.104943,LA,-6.0,71444,"31.120174,-93.104943"
145,Jourdanton,1.0,28.85458,-98.5528,TX,-6.0,78026,"28.85458,-98.5528"
146,Corpus Christi,1.0,27.687791999999998,-97.40165,TX,-6.0,78413,"27.687792,-97.40165"
147,Severy,1.0,37.647292,-96.22324,KS,-6.0,67137,"37.647292,-96.22324"
148,Grinnell,1.0,39.042757,-100.64563000000001,KS,-6.0,67738,"39.042757,-100.64563"
149,Longville,1.0,46.975876,-94.21508,MN,-6.0,56655,"46.975876,-94.21508"
150,Wounded Knee,1.0,43.138184,-102.36896999999999,SD,-7.0,57794,"43.138184,-102.36897"
151,Dahlen,1.0,48.173113,-97.95766,ND,-6.0,58224,"48.173113,-97.95766"
152,Carbondale,1.0,37.758646,-89.41583100000001,IL,-6.0,62902,"37.758646,-89.415831"
153,Little Rock,1.0,34.783505,-92.40807,AR,-6.0,72212,"34.783505,-92.40807"
154,Moro,1.0,34.805649,-91.00582,AR,-6.0,72368,"34.805649,-91.00582"
155,Colorado Springs,1.0,38.791242,-104.82491999999999,CO,-7.0,80906,"38.791242,-104.82492"
156,Palisade,1.0,39.1013,-108.367,CO,-7.0,81526,"39.1013,-108.367"
157,Dallas,1.0,32.72238,-96.67582,TX,-6.0,75217,"32.72238,-96.67582"
158,Karnack,1.0,32.667970000000004,-94.16846,TX,-6.0,75661,"32.66797,-94.16846"
159,Winona,1.0,32.223828000000005,-95.785482,TX,-6.0,75752,"32.223828,-95.785482"
160,Salt Lake City,1.0,40.668068,-111.90829699999999,UT,-7.0,84171,"40.668068,-111.908297"
161,Lyman,1.0,38.399138,-111.591641,UT,-7.0,84947,"38.399138,-111.591641"
162,Glendale,0.0,33.534128,-112.1767,AZ,-7.0,85301,"33.534128,-112.1767"
163,Los Angeles,1.0,34.029313,-118.24181999999999,CA,-8.0,90021,"34.029313,-118.24182"
164,Harmony,1.0,35.508282,-121.03551000000002,CA,-8.0,93435,"35.508282,-121.03551"
165,Fresno,1.0,36.746375,-119.63965800000001,CA,-8.0,93745,"36.746375,-119.639658"
166,Kailua Kona,0.0,19.675386,-155.97588000000002,HI,-10.0,96740,"19.675386,-155.97588"
167,Owls Head,1.0,44.065748,-69.07536,ME,-5.0,4854,"44.065748,-69.07536"
168,Weston,1.0,41.216454,-73.37308,CT,-5.0,6883,"41.216454,-73.37308"
169,Fairfield,1.0,40.879049,-74.29378,NJ,-5.0,7004,"40.879049,-74.29378"
170,St John,0.0,18.32816,-64.740737,VI,-4.0,831,"18.32816,-64.740737"
171,Waltham,1.0,42.356719,-71.250479,MA,-5.0,2454,"42.356719,-71.250479"
172,Slinger,1.0,43.33278,-88.27906999999999,WI,-6.0,53086,"43.33278,-88.27907"
173,Milwaukee,1.0,43.038513,-87.909584,WI,-6.0,53268,"43.038513,-87.909584"
174,Minneapolis,1.0,44.837964,-93.27656999999999,MN,-6.0,55420,"44.837964,-93.27657"
175,Brownsville,1.0,43.664102,-91.29057,MN,-6.0,55919,"43.664102,-91.29057"
176,Waltham,1.0,43.82009,-92.87749000000001,MN,-6.0,55982,"43.82009,-92.87749"
177,Hazel Green,1.0,37.797688,-83.36865999999999,KY,-5.0,41332,"37.797688,-83.36866"
178,Galloway,1.0,39.939871000000004,-83.1667,OH,-5.0,43119,"39.939871,-83.1667"
179,West Millgrove,1.0,41.245763000000004,-83.48948,OH,-5.0,43467,"41.245763,-83.48948"
180,Sevierville,1.0,35.818653000000005,-83.59196999999999,TN,-5.0,37862,"35.818653,-83.59197"
181,Piney Woods,1.0,32.057964,-89.99117,MS,-6.0,39148,"32.057964,-89.99117"
182,Waldorf,1.0,38.509547999999995,-76.981651,MD,-5.0,20604,"38.509548,-76.981651"
183,Barton,1.0,39.535862,-79.0194,MD,-5.0,21521,"39.535862,-79.0194"
184,Merrifield,1.0,38.831813000000004,-77.28875500000001,VA,-5.0,22120,"38.831813,-77.288755"
185,Belspring,1.0,37.189876,-80.59761,VA,-5.0,24058,"37.189876,-80.59761"
186,Walworth,1.0,42.566752,-88.56557,WI,-6.0,53197,"42.566752,-88.56557"
187,Lublin,1.0,45.077541,-90.7324,WI,-6.0,54447,"45.077541,-90.7324"
188,Willernie,1.0,45.054666,-92.95703,MN,-6.0,55090,"45.054666,-92.95703"
189,Norvell,1.0,42.158739000000004,-84.18274,MI,-5.0,49263,"42.158739,-84.18274"
190,Lake Park,1.0,46.861527,-96.10974,MN,-6.0,56554,"46.861527,-96.10974"
191,Howard,1.0,44.025045,-97.56056,SD,-6.0,57349,"44.025045,-97.56056"
192,Rosebud,1.0,43.232817,-100.90791,SD,-6.0,57570,"43.232817,-100.90791"
193,Sioux City,1.0,42.524145000000004,-96.40292,IA,-6.0,51104,"42.524145,-96.40292"
194,Augusta,1.0,33.461121,-81.97265,GA,-5.0,30901,"33.461121,-81.97265"
195,Gibsonton,1.0,27.837894,-82.37406999999999,FL,-5.0,33534,"27.837894,-82.37407"
196,Sewanee,1.0,35.193891,-85.91048,TN,-6.0,37375,"35.193891,-85.91048"
197,Midnight,1.0,33.078256,-90.60068000000001,MS,-6.0,39115,"33.078256,-90.60068"
198,Hattiesburg,1.0,31.285508,-89.2799,MS,-6.0,39401,"31.285508,-89.2799"
199,Buckner,1.0,38.366467,-85.45075,KY,-5.0,40010,"38.366467,-85.45075"
200,Preston,1.0,38.086673,-83.75712299999999,KY,-5.0,40366,"38.086673,-83.757123"
201,Clarksville,1.0,39.397065999999995,-83.98239000000001,OH,-5.0,45113,"39.397066,-83.98239"
202,Marion,0.0,40.58119,-85.66324,IN,-5.0,46952,"40.58119,-85.66324"
203,Baileyton,1.0,34.29254,-86.63505,AL,-6.0,35019,"34.29254,-86.63505"
204,Abbeville,1.0,31.599256,-85.2094,AL,-6.0,36310,"31.599256,-85.2094"
205,Olivia,1.0,35.351490000000005,-79.10585999999999,NC,-5.0,28368,"35.35149,-79.10586"
206,Grassy Creek,1.0,36.557891999999995,-81.42635,NC,-5.0,28631,"36.557892,-81.42635"
207,Almond,1.0,35.412166,-83.58395,NC,-5.0,28702,"35.412166,-83.58395"
208,Davin,1.0,37.733955,-81.81897,WV,-5.0,25617,"37.733955,-81.81897"
209,Gheens,1.0,29.670214,-90.46202,LA,-6.0,70355,"29.670214,-90.46202"
210,Spring Glen,1.0,41.663895000000004,-74.424533,NY,-5.0,12483,"41.663895,-74.424533"
211,North Scituate,1.0,41.83902,-71.6257,RI,-5.0,2857,"41.83902,-71.6257"
212,North Turner,1.0,44.357987,-70.255783,ME,-5.0,4266,"44.357987,-70.255783"
213,Fort Fairfield,1.0,46.774757,-67.85011999999999,ME,-5.0,4742,"46.774757,-67.85012"
214,East Calais,1.0,44.403898999999996,-72.44328,VT,-5.0,5650,"44.403899,-72.44328"
215,Danbury,1.0,41.308873,-73.363661,CT,-5.0,6813,"41.308873,-73.363661"
216,Valier,1.0,40.917190000000005,-79.04992,PA,-5.0,15780,"40.91719,-79.04992"
217,Hardin,1.0,45.780451,-107.63987,MT,-7.0,59034,"45.780451,-107.63987"
218,Chicago,1.0,41.776983,-87.6404,IL,-6.0,60621,"41.776983,-87.6404"
219,Basco,1.0,40.319528000000005,-91.20483,IL,-6.0,62313,"40.319528,-91.20483"
220,Glendale,0.0,33.276539,-112.18717,AZ,-7.0,85313,"33.276539,-112.18717"
221,Pinon,1.0,32.663082,-105.36135,NM,-7.0,88344,"32.663082,-105.36135"
222,Pennington,1.0,31.213490000000004,-95.23475,TX,-6.0,75856,"31.21349,-95.23475"
223,Fort Worth,1.0,32.771419,-97.291484,TX,-6.0,76113,"32.771419,-97.291484"
224,Killeen,1.0,31.036286999999998,-97.492017,TX,-6.0,76547,"31.036287,-97.492017"
225,Houston,1.0,29.833990000000004,-95.434241,TX,-6.0,77233,"29.83399,-95.434241"
226,Monteview,1.0,43.964437,-112.54642,ID,-7.0,83435,"43.964437,-112.54642"
227,Los Angeles,1.0,33.786594,-118.29866200000001,CA,-8.0,90174,"33.786594,-118.298662"
228,Inglewood,1.0,33.786594,-118.29866200000001,CA,-8.0,90307,"33.786594,-118.298662"
229,Pasadena,1.0,33.786594,-118.29866200000001,CA,-8.0,91187,"33.786594,-118.298662"
230,Rowland Heights,1.0,33.985012,-117.89705,CA,-8.0,91748,"33.985012,-117.89705"
231,Lake Arrowhead,1.0,34.25629,-117.19131999999999,CA,-8.0,92352,"34.25629,-117.19132"
232,Houston,1.0,29.833990000000004,-95.434241,TX,-6.0,77288,"29.83399,-95.434241"
233,Abilene,1.0,32.302132,-99.890737,TX,-6.0,79608,"32.302132,-99.890737"
234,Bellevue,1.0,47.432251,-121.80338799999998,WA,-8.0,98009,"47.432251,-121.803388"
235,West Memphis,1.0,35.137366,-90.285543,AR,-6.0,72303,"35.137366,-90.285543"
236,Snow Lake,1.0,34.044682,-91.0194,AR,-6.0,72379,"34.044682,-91.0194"
237,Weldon,1.0,35.614134,-118.27824,CA,-8.0,93283,"35.614134,-118.27824"
238,San Francisco,1.0,37.743381,-122.48578,CA,-8.0,94116,"37.743381,-122.48578"
239,Piercy,1.0,39.96266,-123.74471000000001,CA,-8.0,95587,"39.96266,-123.74471"
240,Rancho Cordova,1.0,38.377410999999995,-121.444429,CA,-8.0,95743,"38.377411,-121.444429"
241,Kapaau,0.0,20.222668,-155.78663999999998,HI,-10.0,96755,"20.222668,-155.78664"
242,Decatur,1.0,33.740055,-84.26791,GA,-5.0,30032,"33.740055,-84.26791"
243,Stone Mountain,1.0,33.891251000000004,-84.07455999999999,GA,-5.0,30086,"33.891251,-84.07456"
244,Flushing,1.0,40.781703,-73.831698,NY,-5.0,11351,"40.781703,-73.831698"
245,Hubbardsville,1.0,42.81488,-75.43424,NY,-5.0,13355,"42.81488,-75.43424"
246,Bluff Springs,1.0,39.979614,-90.35244399999999,IL,-6.0,62622,"39.979614,-90.352444"
247,Emden,1.0,40.291512,-89.47436,IL,-6.0,62635,"40.291512,-89.47436"
248,Slagle,1.0,31.111978999999998,-93.200936,LA,-6.0,71475,"31.111979,-93.200936"
249,Ironwood,1.0,46.47351,-90.15732,MI,-6.0,49938,"46.47351,-90.15732"
250,Churdan,1.0,42.16372,-94.50771,IA,-6.0,50050,"42.16372,-94.50771"
251,Barnum,1.0,42.523953000000006,-94.35401,IA,-6.0,50518,"42.523953,-94.35401"
252,Buffalo,1.0,45.547869,-103.58054,SD,-7.0,57720,"45.547869,-103.58054"
253,Washington,1.0,38.893311,-77.014647,DC,-5.0,20044,"38.893311,-77.014647"
254,Washington,1.0,38.893311,-77.014647,DC,-5.0,20244,"38.893311,-77.014647"
255,Greenwood,1.0,38.039928,-78.75894,VA,-5.0,22943,"38.039928,-78.75894"
256,Nottoway,1.0,37.116094,-78.05783199999999,VA,-5.0,23955,"37.116094,-78.057832"
257,Clayton Lake,1.0,46.516166,-68.886826,ME,-5.0,4737,"46.516166,-68.886826"
258,North Springfield,1.0,43.334787,-72.53053,VT,-5.0,5150,"43.334787,-72.53053"
259,Montpelier,1.0,44.259518,-72.585018,VT,-5.0,5620,"44.259518,-72.585018"
260,Troutville,1.0,41.023829,-78.78711,PA,-5.0,15866,"41.023829,-78.78711"
261,Keene Valley,1.0,44.171625,-73.78130999999999,NY,-5.0,12943,"44.171625,-73.78131"
262,Hempstead,1.0,40.702271,-73.61740999999999,NY,-5.0,11550,"40.702271,-73.61741"
263,Jessup,1.0,41.471937,-75.56605,PA,-5.0,18434,"41.471937,-75.56605"
264,Lingle,1.0,42.121155,-104.37708,WY,-7.0,82223,"42.121155,-104.37708"
265,Bingham Canyon,1.0,40.563896,-112.1281,UT,-7.0,84006,"40.563896,-112.1281"
266,San Fernando,1.0,33.786594,-118.29866200000001,CA,-8.0,91341,"33.786594,-118.298662"
267,Los Angeles,1.0,34.061611,-118.23943999999999,CA,-8.0,90012,"34.061611,-118.23944"
268,Monmouth,1.0,44.855049,-123.237656,OR,-8.0,97631,"44.855049,-123.237656"
269,Tacoma,1.0,47.066193,-122.113223,WA,-8.0,98434,"47.066193,-122.113223"
270,Brightwood,1.0,45.371086,-122.01227,OR,-8.0,97011,"45.371086,-122.01227"
271,Portland,1.0,45.481790999999994,-122.64055,OR,-8.0,97202,"45.481791,-122.64055"
272,El Paso,1.0,31.694841999999998,-106.29998700000002,TX,-7.0,79966,"31.694842,-106.299987"
273,Loretto,1.0,45.015914,-93.47188,MN,-6.0,55599,"45.015914,-93.47188"
274,Duluth,1.0,46.809438,-92.07319,MN,-6.0,55812,"46.809438,-92.07319"
275,Winona,1.0,36.996441,-91.30515,MO,-6.0,65588,"36.996441,-91.30515"
276,Wichita,1.0,37.705384,-97.31777,KS,-6.0,67214,"37.705384,-97.31777"
277,Wichita,1.0,37.683392,-97.1706,KS,-6.0,67230,"37.683392,-97.1706"
278,Wheaton,1.0,41.839679,-88.088716,IL,-6.0,60189,"41.839679,-88.088716"
279,Chicago,1.0,41.880682,-87.6877,IL,-6.0,60612,"41.880682,-87.6877"
280,Viola,1.0,41.195087,-90.57923000000001,IL,-6.0,61486,"41.195087,-90.57923"
281,Bowling Green,0.0,39.360169,-86.99353,IN,-5.0,47833,"39.360169,-86.99353"
282,Casco,1.0,42.773534999999995,-82.67684,MI,-5.0,48064,"42.773535,-82.67684"
283,Bloomfield Hills,1.0,42.546445,-83.28083000000001,MI,-5.0,48301,"42.546445,-83.28083"
284,Baden,1.0,40.641065999999995,-80.20599,PA,-5.0,15005,"40.641066,-80.20599"
285,Pittsburgh,1.0,40.455118,-80.06008,PA,-5.0,15204,"40.455118,-80.06008"
286,Silverdale,1.0,40.346016999999996,-75.26953,PA,-5.0,18962,"40.346017,-75.26953"
287,Philadelphia,1.0,40.038944,-75.22104,PA,-5.0,19128,"40.038944,-75.22104"
288,York,1.0,40.002547,-76.59646,PA,-5.0,17406,"40.002547,-76.59646"
